STNID;M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;M11;M12;_ID;_LATITUDE;_LONGITUDE;_ELEVATION;_STATE
USC00045933;3.6;3.1;3.7;4.9;8.7;13.1;18.1;17.8;15.2;10.9;5.8;3.2;USC00045933;37.3436;-121.6425;1282;CA
USC00045968;1.3;1.1;2.7;4.3;8.1;11.5;15.5;14.9;12.1;6.8;3.9;0.9;USC00045968;32.8672;-116.4194;1804.4;CA
USC00046006;2.6;2.1;3.2;4.9;8.9;13.4;17.4;17.2;14.4;9.9;5.3;2.5;USC00046006;34.2308;-118.0711;1740.4;CA
USC00046074;4.1;5.5;6.4;7.3;9.8;11.9;12.8;12.8;11.8;9.6;6.5;4.2;USC00046074;38.2778;-122.2647;10.7;CA
USC00046136;1.4;1.7;2.9;4.4;8.2;11.8;15.1;14.6;12.4;8.3;3.7;1.3;USC00046136;39.2467;-121.0008;847.6;CA
USC00046144;5.6;7.3;8.7;10.1;11.8;13.5;14.3;14.7;14.2;12.1;8.6;5.7;USC00046144;37.5147;-122.0325;3;CA
USC00046154;0.6;1.8;2.9;4.1;7.6;10.6;13.5;12.9;10.5;6.3;2.4;0.3;USC00046154;34.9456;-119.6828;658.4;CA
USC00046161;6.7;6.5;7.9;9.5;11.6;13.8;16.7;17.8;16.6;12.8;9.1;6.8;USC00046161;34.3933;-118.5939;538;CA
USC00046168;3.1;4.8;6.3;7.7;10.9;13.8;15.9;15.3;13.6;9.9;5.6;2.9;USC00046168;37.2811;-121.0178;27.4;CA
USC00046172;0.9;1.7;4.2;6.3;9.4;12.3;15.1;14.7;11.8;8.1;3.8;0.8;USC00046172;37.95;-120.5333;236.2;CA
USC00046174;3.3;4.7;6.2;7.7;11.3;14.8;18.4;17.7;15.4;11.2;6.3;3.3;USC00046174;38.0047;-120.4864;292.6;CA
USC00046175;9.9;10.4;11.3;12.6;14.6;16.2;17.9;18.3;17.6;15.4;12.1;9.6;USC00046175;33.6025;-117.8803;3;CA
USC00046252;-0.9;-0.9;1.5;3.5;7.4;10.8;14.2;13.9;10.8;6.3;1.9;-0.3;USC00046252;37.2328;-119.5097;806.2;CA
USC00046263;7.6;7.9;9.3;10.3;13.2;15.2;17.4;17.7;16.6;12.9;9.5;7.2;USC00046263;34.2447;-118.525;289;CA
USC00046336;6.8;8.2;9.2;10.0;11.5;12.8;13.4;14.2;13.9;12.4;9.5;7.1;USC00046336;37.7983;-122.2642;9.1;CA
USC00046370;5.1;6.0;7.0;7.4;8.8;10.5;11.2;11.6;12.0;10.5;7.7;4.8;USC00046370;38.3858;-122.9661;263.7;CA
USC00046377;7.3;8.0;9.2;11.1;13.4;15.4;17.3;17.8;16.5;13.6;9.7;7.1;USC00046377;33.2097;-117.395;3;CA
USC00046386;8.7;10.0;12.9;15.6;19.9;23.6;27.9;27.3;24.8;19.2;12.1;8.1;USC00046386;33.1553;-116.1689;118.9;CA
USC00046399;2.3;3.5;4.8;6.2;8.9;10.8;13.2;12.8;11.5;8.4;4.3;1.9;USC00046399;34.4478;-119.2275;227.1;CA
USC00046498;2.7;2.9;3.3;3.9;5.9;7.8;9.2;9.2;7.3;5.5;4.0;2.4;USC00046498;41.3619;-124.0192;48.8;CA
USC00046506;2.9;4.4;6.3;8.1;11.9;15.6;17.2;15.9;13.9;10.2;5.7;2.7;USC00046506;39.7458;-122.1997;77.4;CA
USC00046508;3.0;4.1;5.1;6.1;8.7;11.1;13.3;12.9;10.6;7.8;5.4;2.9;USC00046508;41.3089;-123.5317;122.8;CA
USC00046521;3.4;5.0;6.9;8.3;11.5;14.4;16.6;15.3;12.9;9.6;6.1;3.6;USC00046521;39.5178;-121.5531;52.1;CA
USC00046569;7.9;8.6;9.6;10.4;12.4;14.3;15.8;16.0;15.2;13.1;10.2;7.9;USC00046569;34.1981;-119.1753;14.9;CA
USC00046572;7.2;8.0;8.5;9.3;11.6;13.5;15.1;14.9;14.4;12.3;9.7;6.9;USC00046572;34.2067;-119.1375;15.8;CA
USC00046599;8.7;9.2;9.3;9.7;10.8;11.8;12.7;13.1;13.4;12.7;11.0;9.1;USC00046599;37.5917;-122.4717;144.8;CA
USC00046610;0.9;1.8;3.0;3.8;5.8;7.8;9.3;8.9;8.1;4.7;2.3;0.3;USC00046610;36.715;-121.3492;275.8;CA
USC00046624;1.2;2.9;4.9;7.3;11.5;15.5;19.1;18.4;15.2;9.7;4.2;1.1;USC00046624;34.5883;-118.0939;794.3;CA
USC00046635;7.4;8.9;11.2;14.1;17.9;21.6;25.3;25.3;22.2;16.8;10.9;6.7;USC00046635;33.8275;-116.5097;129.5;CA
USC00046646;3.6;4.8;6.2;7.1;9.3;11.3;12.8;12.7;11.4;8.9;5.8;3.3;USC00046646;37.4436;-122.1403;7.6;CA
USC00046657;2.1;1.8;3.2;5.1;8.9;13.6;17.5;17.4;14.6;9.7;5.2;2.1;USC00046657;33.3781;-116.84;1691.6;CA
USC00046685;4.1;5.2;6.7;8.6;12.0;15.8;18.9;18.2;16.1;12.1;6.9;4.1;USC00046685;39.7536;-121.6239;533.4;CA
USC00046699;4.2;6.3;9.5;13.1;18.3;23.4;26.6;25.9;22.1;15.3;8.6;3.9;USC00046699;34.2903;-114.1708;224.9;CA
USC00046719;8.7;9.2;10.2;11.6;13.7;15.7;17.9;18.3;17.4;14.4;10.8;8.3;USC00046719;34.1481;-118.1444;263.3;CA
USC00046730;0.8;2.7;4.2;4.9;7.6;9.6;11.4;11.0;9.2;6.0;2.5;0.2;USC00046730;35.6278;-120.6856;222.5;CA
USC00046773;2.9;3.9;5.6;7.7;11.8;15.7;19.6;19.4;16.4;11.7;6.2;2.6;USC00046773;34.5028;-117.8944;929.6;CA
USC00046826;4.0;4.9;5.7;6.6;8.5;10.3;11.3;11.4;10.7;8.7;5.7;3.6;USC00046826;38.2578;-122.6078;6.1;CA
USC00046926;-2.8;-1.4;-0.3;0.5;2.9;4.9;7.0;7.0;5.4;2.4;-0.6;-2.9;USC00046926;36.4817;-121.1822;398.4;CA
USC00046943;6.9;7.7;8.1;8.8;9.7;11.3;12.4;12.7;12.2;11.2;9.1;6.8;USC00046943;35.1597;-120.6831;11.9;CA
USC00046960;1.9;3.3;4.8;6.5;9.6;13.0;16.3;15.6;13.6;9.4;4.6;2.2;USC00046960;38.6956;-120.8244;563.9;CA
USC00046962;4.0;5.0;4.9;7.1;11.2;14.6;18.1;17.9;16.1;11.6;5.7;2.9;USC00046962;38.7333;-120.7333;839.7;CA
USC00047050;6.2;7.2;8.1;9.6;12.3;14.1;16.5;16.5;15.7;12.5;8.4;5.7;USC00047050;34.0817;-117.7658;317;CA
USC00047077;3.7;5.6;7.6;9.6;13.1;16.6;19.8;18.8;16.1;11.3;6.3;3.3;USC00047077;36.0678;-119.02;119.8;CA
USC00047085;-7.3;-6.2;-3.7;-1.7;1.4;4.2;6.4;5.6;2.6;-1.1;-4.4;-7.1;USC00047085;39.8053;-120.4719;1478.3;CA
USC00047109;1.4;2.4;3.7;4.7;7.0;9.9;12.2;11.2;9.1;6.1;3.4;1.3;USC00047109;39.3619;-123.1286;310.3;CA
USW00023110;2.0;3.7;5.4;7.1;10.6;13.6;15.8;15.0;12.8;8.5;3.6;1.2;USW00023110;36.3333;-119.95;70.7;CA
USC00047150;-1.1;0.1;1.1;1.7;4.6;7.4;10.4;9.9;7.6;3.8;0.0;-1.6;USC00047150;36.1883;-120.6953;701;CA
USW00023129;7.8;8.9;10.3;11.8;14.2;16.1;18.1;18.3;17.3;14.6;10.4;7.7;USW00023129;33.8117;-118.1464;9.4;CA
USC00047195;-3.2;-2.2;-0.8;0.8;4.3;7.1;8.8;7.7;4.8;1.3;-1.1;-3.1;USC00047195;39.9367;-120.9475;1042.4;CA
USW00023130;7.2;7.3;8.8;10.3;13.0;15.1;17.3;17.7;16.6;12.7;8.9;6.5;USW00023130;34.2097;-118.4892;234.7;CA
USC00047228;2.8;3.4;4.7;6.1;8.9;10.7;13.3;14.1;12.4;8.8;5.1;2.0;USC00047228;33.0114;-116.9081;448.1;CA
USW00023136;6.2;5.7;8.1;8.8;10.9;13.4;14.4;14.7;13.9;11.5;8.2;5.6;USW00023136;34.2167;-119.0833;23.5;CA
USC00047253;1.7;2.9;5.0;7.8;12.4;16.8;20.2;19.6;16.2;10.9;5.5;1.5;USC00047253;35.3692;-117.6525;1088.1;CA
USW00023152;5.5;6.6;8.0;9.9;12.6;14.7;16.8;16.9;15.6;12.2;7.8;5.1;USW00023152;34.2006;-118.3575;225.9;CA
USC00047306;4.7;5.7;6.9;8.7;11.4;13.6;16.4;16.7;15.1;11.3;7.1;4.4;USC00047306;34.0528;-117.1894;401.7;CA
USC00047339;4.7;5.9;7.1;7.9;10.0;11.9;13.4;13.2;12.2;9.9;6.8;4.6;USC00047339;37.4767;-122.2386;9.4;CA
USC00047404;3.3;3.8;4.4;5.0;7.5;10.0;11.8;11.7;9.5;6.9;4.8;3.1;USC00047404;40.0261;-123.7931;153.3;CA
USW00023155;4.1;5.8;8.1;10.1;14.2;17.9;21.4;20.6;17.8;12.8;7.0;3.9;USW00023155;35.4344;-119.0542;149;CA
