STNID;M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;M11;M12;_ID;_LATITUDE;_LONGITUDE;_ELEVATION;_STATE
USC00046336;14.5;16.4;17.7;19.1;20.4;21.9;22.2;22.8;23.4;22.1;18.1;14.6;USC00046336;37.7983;-122.2642;9.1;CA
USC00046370;12.8;14.3;16.5;18.9;21.7;24.4;25.7;26.1;24.9;22.3;16.4;12.2;USC00046370;38.3858;-122.9661;263.7;CA
USC00046377;17.2;16.9;16.8;17.4;18.2;19.2;21.0;21.8;21.7;20.7;19.1;17.3;USC00046377;33.2097;-117.395;3;CA
USC00046386;21.1;22.8;26.4;30.6;34.8;39.2;42.3;41.4;38.5;32.7;25.2;20.1;USC00046386;33.1553;-116.1689;118.9;CA
USC00046399;19.6;19.7;21.3;23.4;25.4;28.1;31.6;32.5;30.7;26.7;22.6;19.1;USC00046399;34.4478;-119.2275;227.1;CA
USC00046498;11.1;12.4;13.6;14.9;16.5;18.1;19.7;20.4;20.8;18.2;13.2;10.6;USC00046498;41.3619;-124.0192;48.8;CA
USC00046506;12.9;16.1;19.2;22.6;27.2;31.4;34.4;33.8;31.7;25.9;17.8;12.9;USC00046506;39.7458;-122.1997;77.4;CA
USC00046508;9.8;12.8;16.5;20.1;24.2;27.9;32.4;32.4;29.4;21.8;12.8;9.0;USC00046508;41.3089;-123.5317;122.8;CA
USC00046521;13.2;16.3;19.2;22.4;27.4;32.1;35.3;34.6;31.1;25.6;18.0;13.3;USC00046521;39.5178;-121.5531;52.1;CA
USC00046569;18.5;18.5;18.7;19.6;20.0;21.2;22.9;23.0;23.1;22.4;20.6;18.4;USC00046569;34.1981;-119.1753;14.9;CA
USC00046572;19.1;19.0;19.4;19.9;21.4;22.1;23.8;24.4;24.4;23.2;21.4;18.9;USC00046572;34.2067;-119.1375;15.8;CA
USC00046599;13.8;15.2;16.3;17.7;19.0;20.7;21.6;22.1;22.4;20.7;16.8;14.0;USC00046599;37.5917;-122.4717;144.8;CA
USC00046610;14.3;16.2;17.8;20.5;24.3;27.7;30.6;30.1;28.1;23.5;18.4;14.1;USC00046610;36.715;-121.3492;275.8;CA
USC00046624;15.3;17.3;20.7;24.3;28.9;33.2;36.6;36.5;33.3;27.0;19.8;14.6;USC00046624;34.5883;-118.0939;794.3;CA
USC00046635;21.6;23.3;26.9;30.9;35.4;39.8;42.3;41.8;38.8;32.9;25.8;20.7;USC00046635;33.8275;-116.5097;129.5;CA
USC00046646;14.7;16.4;18.7;20.9;23.5;25.8;26.4;26.3;26.4;23.3;18.2;14.6;USC00046646;37.4436;-122.1403;7.6;CA
USC00046657;9.9;9.9;12.7;15.8;20.6;25.4;28.7;28.3;25.6;19.6;13.7;9.8;USC00046657;33.3781;-116.84;1691.6;CA
USC00046685;12.1;13.4;15.9;19.2;24.2;28.9;32.9;32.4;29.5;23.4;15.6;11.8;USC00046685;39.7536;-121.6239;533.4;CA
USC00046699;18.8;21.3;25.2;29.6;34.9;39.9;42.1;41.4;38.1;31.3;23.8;18.1;USC00046699;34.2903;-114.1708;224.9;CA
USC00046719;20.1;20.9;22.4;24.4;26.2;28.7;31.9;32.8;31.8;27.9;23.3;19.5;USC00046719;34.1481;-118.1444;263.3;CA
USC00046730;16.2;17.7;19.9;22.8;26.8;30.1;32.9;33.2;31.3;26.6;20.0;15.9;USC00046730;35.6278;-120.6856;222.5;CA
USC00046773;14.3;15.9;19.2;22.7;28.0;32.9;35.9;35.3;31.8;25.3;18.3;13.6;USC00046773;34.5028;-117.8944;929.6;CA
USC00046826;13.8;16.4;18.4;20.4;22.7;25.9;27.7;27.7;27.6;24.3;18.4;13.9;USC00046826;38.2578;-122.6078;6.1;CA
USC00046926;16.5;17.2;19.2;22.1;26.6;31.1;35.1;34.9;32.3;27.4;20.6;16.3;USC00046926;36.4817;-121.1822;398.4;CA
USC00046943;15.4;15.9;16.7;17.9;18.2;18.8;18.8;19.3;19.8;19.7;18.1;15.6;USC00046943;35.1597;-120.6831;11.9;CA
USC00046960;13.6;15.1;17.1;19.9;24.7;29.6;34.1;33.6;30.5;24.8;17.3;13.1;USC00046960;38.6956;-120.8244;563.9;CA
USC00046962;12.8;13.4;15.6;18.6;23.2;28.8;33.7;33.4;29.7;23.4;14.9;11.6;USC00046962;38.7333;-120.7333;839.7;CA
USC00047050;20.1;20.3;21.6;24.3;26.0;28.6;32.3;33.1;31.5;26.9;23.1;19.7;USC00047050;34.0817;-117.7658;317;CA
USC00047077;14.7;18.3;21.7;25.1;29.9;34.1;37.1;36.5;33.7;27.9;20.2;14.8;USC00047077;36.0678;-119.02;119.8;CA
USC00047085;5.5;7.2;10.4;14.0;19.3;24.5;29.4;29.0;25.0;18.6;10.3;5.3;USC00047085;39.8053;-120.4719;1478.3;CA
USC00047109;13.4;15.7;18.3;20.9;25.2;29.6;34.2;33.6;31.2;25.0;16.8;12.7;USC00047109;39.3619;-123.1286;310.3;CA
USW00023110;12.8;16.7;20.4;24.2;29.2;33.2;36.0;35.2;32.4;26.8;18.8;12.7;USW00023110;36.3333;-119.95;70.7;CA
USC00047150;14.7;15.5;17.8;21.2;26.2;31.0;34.9;34.8;31.7;25.7;18.4;14.3;USC00047150;36.1883;-120.6953;701;CA
USW00023129;19.7;19.6;20.3;22.1;23.1;24.8;27.7;28.8;27.8;25.1;22.3;19.3;USW00023129;33.8117;-118.1464;9.4;CA
USC00047195;7.2;10.2;14.2;17.2;22.4;27.2;31.7;31.3;28.0;21.0;12.2;6.4;USC00047195;39.9367;-120.9475;1042.4;CA
