STNID;M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;M11;M12;_ID;_LATITUDE;_LONGITUDE;_ELEVATION;_STATE
USC00046006;36.6;35.7;37.7;40.9;48.1;56.2;63.4;63;57.9;49.8;41.6;36.5;USC00046006;34.2308;-118.0711;1740.4;CA
USC00046074;39.4;41.9;43.5;45.2;49.6;53.4;55.1;55;53.2;49.2;43.7;39.6;USC00046074;38.2778;-122.2647;10.7;CA
USC00046136;34.5;35.1;37.2;39.9;46.7;53.3;59.1;58.3;54.3;46.9;38.7;34.3;USC00046136;39.2467;-121.0008;847.6;CA
USC00046144;42.1;45.2;47.7;50.1;53.2;56.3;57.8;58.4;57.5;53.7;47.5;42.3;USC00046144;37.5147;-122.0325;3;CA
USC00046154;33.1;35.3;37.3;39.3;45.7;51;56.3;55.2;50.9;43.4;36.3;32.5;USC00046154;34.9456;-119.6828;658.4;CA
USC00046161;44;43.7;46.3;49.1;52.8;56.8;62;64.1;61.8;55;48.3;44.3;USC00046161;34.3933;-118.5939;538;CA
USC00046168;37.5;40.6;43.3;45.8;51.7;56.8;60.7;59.6;56.5;49.8;42;37.3;USC00046168;37.2811;-121.0178;27.4;CA
USC00046172;33.7;35.1;39.5;43.4;48.9;54.1;59.2;58.4;53.3;46.6;38.9;33.5;USC00046172;37.95;-120.5333;236.2;CA
USC00046174;37.9;40.4;43.2;45.8;52.3;58.6;65.1;63.9;59.7;52.1;43.4;38;USC00046174;38.0047;-120.4864;292.6;CA
USC00046175;49.8;50.7;52.3;54.6;58.3;61.2;64.2;64.9;63.6;59.7;53.7;49.3;USC00046175;33.6025;-117.8803;3;CA
USC00046252;30.4;30.3;34.7;38.3;45.4;51.5;57.5;57;51.5;43.3;35.5;31.4;USC00046252;37.2328;-119.5097;806.2;CA
USC00046263;45.6;46.2;48.7;50.6;55.7;59.3;63.4;63.8;61.8;55.3;49.1;44.9;USC00046263;34.2447;-118.525;289;CA
USC00046336;44.3;46.8;48.5;50;52.7;55;56.2;57.5;57.1;54.4;49.1;44.7;USC00046336;37.7983;-122.2642;9.1;CA
USC00046370;41.2;42.8;44.6;45.4;47.9;50.9;52.1;52.8;53.6;50.9;45.9;40.6;USC00046370;38.3858;-122.9661;263.7;CA
USC00046377;45.2;46.4;48.6;51.9;56.2;59.7;63.2;64;61.7;56.5;49.4;44.7;USC00046377;33.2097;-117.395;3;CA
USC00046386;47.7;50;55.3;60.1;67.9;74.5;82.3;81.1;76.6;66.5;53.7;46.5;USC00046386;33.1553;-116.1689;118.9;CA
USC00046399;36.1;38.3;40.6;43.2;48;51.5;55.7;55.1;52.7;47.2;39.8;35.4;USC00046399;34.4478;-119.2275;227.1;CA
USC00046498;36.8;37.2;37.9;39.1;42.6;46.1;48.5;48.6;45.1;41.9;39.2;36.3;USC00046498;41.3619;-124.0192;48.8;CA
USC00046506;37.2;40;43.3;46.5;53.5;60;63;60.6;57;50.3;42.3;36.9;USC00046506;39.7458;-122.1997;77.4;CA
USC00046508;37.4;39.3;41.2;43;47.6;51.9;55.9;55.3;51;46.1;41.7;37.2;USC00046508;41.3089;-123.5317;122.8;CA
USC00046521;38.2;41;44.5;47;52.7;57.9;61.8;59.5;55.2;49.3;43;38.5;USC00046521;39.5178;-121.5531;52.1;CA
USC00046569;46.2;47.5;49.3;50.7;54.3;57.7;60.5;60.8;59.3;55.5;50.4;46.2;USC00046569;34.1981;-119.1753;14.9;CA
USC00046572;45;46.4;47.3;48.8;52.8;56.3;59.2;58.8;57.9;54.2;49.5;44.5;USC00046572;34.2067;-119.1375;15.8;CA
USC00046599;47.6;48.5;48.7;49.4;51.5;53.3;54.8;55.6;56.2;54.8;51.8;48.3;USC00046599;37.5917;-122.4717;144.8;CA
USC00046610;33.7;35.2;37.4;38.8;42.4;46;48.7;48.1;46.6;40.5;36.2;32.6;USC00046610;36.715;-121.3492;275.8;CA
USC00046624;34.2;37.3;40.8;45.2;52.7;59.9;66.4;65.2;59.3;49.5;39.5;33.9;USC00046624;34.5883;-118.0939;794.3;CA
USC00046635;45.4;48;52.2;57.4;64.3;70.8;77.5;77.6;71.9;62.3;51.6;44.1;USC00046635;33.8275;-116.5097;129.5;CA
USC00046646;38.5;40.6;43.1;44.7;48.7;52.4;55.1;54.9;52.5;48.1;42.4;38;USC00046646;37.4436;-122.1403;7.6;CA
USC00046657;35.8;35.3;37.8;41.2;48;56.4;63.5;63.4;58.2;49.4;41.4;35.7;USC00046657;33.3781;-116.84;1691.6;CA
USC00046685;39.3;41.3;44;47.4;53.6;60.4;66.1;64.7;61;53.7;44.5;39.3;USC00046685;39.7536;-121.6239;533.4;CA
