X,Y,id,gen,feb,mar,apr,mag,giu,lug,ago,sett,ott,nov,dic,_LATITUDE,_LONGITUDE,_ELEVATION,_STATE,tot_mesi
-120.9447,41.1936,USC00040029,31.44,32.93,33.43,42.08,34.89,13.73,1.55,4.87,6.73,25.01,46.45,68.17,41.1936,-120.9447,1278.6,CA,341.28
-116.7775,32.8358,USC00040136,63.13,93.12,34.25,30.93,6.73,0.38,1.85,0.81,3.72,25.61,32.12,60.5,32.8358,-116.7775,516.6,CA,353.15
-120.5528,41.4931,USC00040161,25.97,25.6,26.77,31.6,34.7,11.91,2.6,6.69,8.93,24.42,44.44,42.16,41.4931,-120.5528,1341.1,CA,285.79
-117.8425,33.8647,USC00040192,87.71,87.84,22.55,20.97,8.79,0.66,1.3,0.3,1.5,27.38,31.46,72.73,33.8647,-117.8425,102.1,CA,363.19
-122.4406,38.5731,USC00040212,160.97,180.26,103.8,64.99,42.19,3.77,0.44,0.79,2.29,57.17,98.26,297.25,38.5731,-122.4406,522.7,CA,1012.18
-121.7458,37.9856,USC00040232,56.91,50.01,44.41,22.8,5.03,0.49,0,0.89,0.33,15.13,27.02,94.61,37.9856,-121.7458,18.3,CA,317.63
-118.8253,36.4914,USC00040343,112.47,120.5,68.75,88.2,26.86,3.06,1.78,1.16,3.22,35.54,61.43,133.07,36.4914,-118.8253,520.6,CA,656.04
-119.5128,37.0919,USC00040379,102.17,108.63,65.51,55.84,28.78,3.46,0.52,1.66,2.3,36.44,47.63,152.26,37.0919,-119.5128,637,CA,605.2
-121.0839,38.9072,USC00040383,133.21,133.73,112.02,87.47,39.25,4.59,0.1,1.04,4.22,51.88,69.32,223.17,38.9072,-121.0839,393.8,CA,860
-116.0628,35.2761,USC00040436,13.1,29.19,8.71,3.31,0.97,0.1,3.16,9.26,10.75,7.11,7.09,17.81,35.2761,-116.0628,293.2,CA,110.56
-119.0883,36.9092,USC00040449,131.06,124.33,87.43,76.6,31.53,2.59,0.93,0.1,1.83,39.89,56.87,162.27,36.9092,-119.0883,524.3,CA,715.43
-117.0219,34.8928,USC00040521,19.72,29.07,12.96,7.6,0.69,0.03,9.7,5.03,4.4,12.56,16.6,31.74,34.8928,-117.0219,676.7,CA,150.1
-122.0797,37.0856,USC00040673,204.37,231,128.69,108.06,23.59,3.85,0.03,0.11,2.65,75.5,119.91,374.86,37.0856,-122.0797,128,CA,1272.62
-122.2606,37.8744,USC00040693,100.78,128.87,73.74,50.23,20.94,3.14,0.16,0.21,3.6,34.98,60.67,189.62,37.8744,-122.2606,94.5,CA,666.94
-123.2078,40.7406,USC00040738,134.98,120.23,82.85,65.66,47.11,17.64,2.47,8.31,6.74,59.72,113.38,233.51,40.7406,-123.2078,381.9,CA,892.6
-116.9039,34.2442,USC00040741,126.87,81.51,41.92,24.87,6.85,2.97,10.36,23.96,11.78,29.67,42.32,115.69,34.2442,-116.9039,2060.4,CA,518.77
-121.7803,36.2472,USC00040790,193.09,205.81,125.67,86.26,24.23,1.09,0.23,0.21,3.13,67.22,83.72,328.31,36.2472,-121.7803,61,CA,1118.97
-114.5972,33.6131,USC00040924,15.89,18.9,10.22,0.93,1.78,0.03,5,4.65,5.26,4.43,3.85,11.87,33.6131,-114.5972,81.7,CA,82.81
-120.0936,39.3886,USC00040931,70.53,59.63,56.57,44.06,20.19,7.31,8.42,5.82,6.37,39.66,52.72,135.88,39.3886,-120.0936,1699.3,CA,507.16
-119.0142,38.2119,USC00040943,42.92,27.87,23.91,32.84,10.74,9.06,17.28,10.2,3.19,15.2,21.75,55.9,38.2119,-119.0142,2551.2,CA,270.86
-116.4144,33.2314,USC00040983,25.35,32.82,10.75,2.89,0.18,0.56,4.86,4.95,2.64,10.13,7.47,29.87,33.2314,-116.4144,245.4,CA,132.47
-115.5581,32.9544,USC00041048,10.98,15.68,6.01,2.24,0.09,0,2.77,1.39,1.22,9.24,4.73,10.33,32.9544,-115.5581,-30.5,CA,64.68
-119.2286,38.2575,USC00041072,28.23,44.62,11.8,17.95,10.37,4.47,8.32,7.71,6.93,12.66,27.51,60.67,38.2575,-119.2286,1972.1,CA,241.24
-121.6547,40.8803,USC00041214,98.72,109.6,78.95,72.49,39.28,13.94,4.95,6.55,9.66,35.45,68.49,175.92,40.8803,-121.6547,974.8,CA,714
-119.4731,35.4047,USC00041244,23.23,28.03,13.89,15.24,4.37,0,0.28,0.28,0.1,9.22,9.75,33.86,35.4047,-119.4731,82,CA,138.25
-119.9817,34.5825,USC00041253,143.84,111.02,47.51,34.09,12.76,0.56,0.18,0.08,0.97,30.7,35.63,112.65,34.5825,-119.9817,238.7,CA,529.99
-120.3114,38.2769,USC00041277,188.48,209.95,161.78,148.58,68.04,9.24,0.25,3.43,4.19,84.97,131.97,327.71,38.2769,-120.3114,1431,CA,1338.59
-122.6014,38.5961,USC00041312,157.32,176.45,113.59,69.85,42.64,2.12,0.13,0.02,2.74,58.87,80.31,289.58,38.5961,-122.6014,121.9,CA,993.62
-122.8045,41.3111,USC00041316,74.7,56.94,42.26,38.05,26.81,11.35,9.38,10.24,5.34,37.77,64.25,140.96,41.3111,-122.8045,970.8,CA,518.05
-120.8433,38.2486,USC00041428,84.76,85.49,69.44,60.94,24.52,4.62,0.03,1.02,3.92,26.93,47.61,129.29,38.2486,-120.8433,200.6,CA,538.57
