X,Y,id,gen,feb,mar,apr,mag,giu,lug,ago,sett,ott,nov,dic,_LATITUDE,_LONGITUDE,_ELEVATION,_STATE,tot_mesi
-120.9447,41.1936,USC00040029,69.18,44.46,51.03,36.42,48.06,36.72,10.8,6.13,12.12,31.08,42.66,52.45,41.1936,-120.9447,1278.6,CA,441.11
-116.7775,32.8358,USC00040136,116.77,117.13,111.93,33.15,14.12,7.35,3.33,3.24,6.85,13.15,30.12,42.46,32.8358,-116.7775,516.6,CA,499.6
-120.5528,41.4931,USC00040161,45.75,28.52,44.34,28.35,43.14,28.86,9.79,8.66,11.6,21.47,35.22,38.14,41.4931,-120.5528,1341.1,CA,343.84
-117.8425,33.8647,USC00040192,89.35,98.75,70.61,17.38,8.01,6.71,1.07,0,1.77,10.8,23.13,45.14,33.8647,-117.8425,102.1,CA,372.72
-122.4406,38.5731,USC00040212,260.26,223.75,154.49,64.14,51.38,13.79,0,1.71,3.31,51.22,109.71,159.21,38.5731,-122.4406,522.7,CA,1092.97
-121.7458,37.9856,USC00040232,91.08,81.08,53.1,15.8,18.41,3.9,0,0.14,1.85,14.45,38.3,47.3,37.9856,-121.7458,18.3,CA,365.41
-118.8253,36.4914,USC00040343,154.44,144.61,132.41,51.13,38.41,21.67,4.82,0.23,5,35.01,59.25,78.19,36.4914,-118.8253,520.6,CA,725.17
-119.5128,37.0919,USC00040379,187.68,138.9,133.46,48.9,27.3,17.06,3.77,0.09,4.8,41.6,57.46,89.89,37.0919,-119.5128,637,CA,750.91
-121.0839,38.9072,USC00040383,231.8,205.51,142.65,63.04,54.29,16.78,0.1,2.12,5.44,53,91.42,158.1,38.9072,-121.0839,393.8,CA,1024.25
-116.0628,35.2761,USC00040436,18.79,27.48,23.35,2.8,2.46,2.58,9.26,8.66,8.69,3.87,4.85,6.55,35.2761,-116.0628,293.2,CA,119.34
-119.0883,36.9092,USC00040449,222.26,177.2,141.01,56.39,44.11,25.76,10.17,0,14.59,43.15,66.36,98.23,36.9092,-119.0883,524.3,CA,899.23
-117.0219,34.8928,USC00040521,21.36,33.75,16.64,1.76,0.93,2.79,4.3,2.31,12.35,5.83,5.74,11.97,34.8928,-117.0219,676.7,CA,119.73
-122.0797,37.0856,USC00040673,359.22,315.64,176.58,71.06,46.3,10.3,0.13,2.71,2.54,53.49,142.69,200.87,37.0856,-122.0797,128,CA,1381.53
