STNID,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,_ID,_LATITUDE,_LONGITUDE,_ELEVATION,_STATE
USC00040029,-4.5080,-3.9220,-2.0110,-0.3360,3.7350,6.3880,10.7270,8.9550,5.5060,1.2170,-2.0820,-4.3460,USC00040029,41.1936,-120.9447,1279,CA
USC00040136,6.6310,5.8150,6.7840,8.1750,10.8950,13.6350,17.1230,16.8540,15.6590,12.6600,9.6620,5.8160,USC00040136,32.8358,-116.7775,517,CA
USC00040161,-8.7230,-7.3520,-5.2260,-3.4760,0.7860,3.4490,6.8190,4.5970,1.0990,-3.0310,-6.5600,-7.6300,USC00040161,41.4931,-120.5528,1341,CA
USC00040192,8.8980,8.9710,10.4370,11.4300,14.1320,16.3750,18.4890,18.2090,16.9260,14.5290,11.5550,8.4160,USC00040192,33.8647,-117.8425,102,CA
USC00040212,3.5440,4.2650,5.1990,5.2520,8.7430,11.1500,13.1180,12.2360,11.7940,9.6950,6.3560,3.9900,USC00040212,38.5731,-122.4406,523,CA
USC00040232,3.9700,5.9430,7.1760,8.5400,11.9770,14.5560,15.3490,14.6500,13.9100,11.1050,7.5780,4.5630,USC00040232,37.9856,-121.7458,18,CA
USC00040343,1.7080,2.8230,4.0990,5.2090,10.5440,14.6770,18.9610,17.2920,14.3330,8.9560,4.4650,1.3950,USC00040343,36.4914,-118.8253,521,CA
USC00040379,1.9350,3.4490,5.1820,6.5110,11.8590,15.7740,20.4970,19.0770,16.2830,10.7080,5.4100,2.4150,USC00040379,37.0919,-119.5128,637,CA
USC00040383,3.7020,4.7170,6.0840,6.8310,11.5130,14.9100,18.4000,17.3590,15.4430,11.2020,7.0180,3.8020,USC00040383,38.9072,-121.0839,394,CA
USC00040436,1.6730,4.6740,7.9010,10.9290,17.7030,22.2930,26.9330,24.8310,19.6910,12.5300,6.1500,1.3690,USC00040436,35.2761,-116.0628,293,CA
USC00040449,2.7070,3.4680,5.5580,6.7050,11.9110,16.1060,20.9940,20.0590,17.0290,11.7660,6.4750,2.9320,USC00040449,36.9092,-119.0883,524,CA
USC00040521,1.4670,3.2230,6.1990,8.4470,14.2830,18.5300,22.5620,20.9620,16.6720,10.9970,5.2910,1.3280,USC00040521,34.8928,-117.0219,677,CA
USC00040673,2.2130,3.5080,3.8530,4.8430,7.2330,8.7300,10.3460,10.0540,8.7000,6.5900,4.0080,2.9010,USC00040673,37.0856,-122.0797,128,CA
USC00040693,5.7950,6.9590,7.5790,7.5800,9.2940,10.6410,11.3250,11.7520,11.4970,10.3540,8.5250,6.3970,USC00040693,37.8744,-122.2606,95,CA
USC00040738,1.7340,1.8900,2.6500,3.7090,6.3670,8.8980,12.2370,11.1710,8.3950,5.0700,3.8850,2.0000,USC00040738,40.7406,-123.2078,382,CA
USC00040741,-6.8520,-6.1740,-4.3060,-2.2170,2.5080,6.0670,10.2240,8.8730,5.7090,0.9760,-3.0430,-6.0590,USC00040741,34.2442,-116.9039,2060,CA
USC00040790,5.1970,6.2230,5.9830,5.8780,7.5920,8.8350,10.0750,9.8320,9.5060,8.6260,7.1240,5.8630,USC00040790,36.2472,-121.7803,61,CA
USC00040924,4.1420,5.8280,9.2200,12.7770,17.4340,21.6130,26.0340,25.1320,20.4410,13.3580,8.0370,3.3000,USC00040924,33.6131,-114.5972,82,CA
USC00040931,-11.6760,-10.0460,-7.6360,-4.9100,-1.5500,0.7990,3.2640,1.6050,-1.8940,-4.6490,-6.9680,-9.9300,USC00040931,39.3886,-120.0936,1699,CA
USC00040943,-15.4070,-14.1160,-11.8950,-8.5960,-4.6470,-1.1380,2.3660,-0.2180,-3.9730,-7.3740,-11.4990,-13.8770,USC00040943,38.2119,-119.0142,2551,CA
USC00040983,6.7650,7.3250,9.9800,11.5340,16.5980,20.5250,25.2800,24.1530,21.2250,15.5650,10.5780,6.3760,USC00040983,33.2314,-116.4144,245,CA
USC00041018,-1.5400,-2.0210,-0.9550,0.6180,4.8830,9.4120,13.3970,12.3080,9.8910,5.6420,1.7010,-1.4080,USC00041018,39.4539,-120.6556,1641,CA
USC00041048,4.9560,6.5450,9.7280,11.7730,15.8570,19.8900,25.5490,24.7630,20.7200,15.0670,9.2230,4.5680,USC00041048,32.9544,-115.5581,-31,CA
USC00041072,-14.2620,-12.0490,-8.4010,-4.4120,-0.9840,3.0410,6.3520,3.7900,-0.9480,-5.6470,-9.3820,-12.3490,USC00041072,38.2575,-119.2286,1972,CA
USC00041214,-4.5580,-3.6780,-2.1630,-0.5890,3.4910,6.6270,9.1130,7.2110,3.4220,-0.3850,-2.6050,-4.0480,USC00041214,40.8803,-121.6547,975,CA
USC00041244,2.6870,4.8180,6.8260,8.6010,13.5400,16.7230,20.1370,18.1700,15.0260,9.8960,5.1850,2.7210,USC00041244,35.4047,-119.4731,82,CA
USC00041253,3.1630,4.0950,5.0500,5.5800,7.8490,9.6450,11.2850,10.8870,10.6180,8.0610,5.5820,3.5230,USC00041253,34.5825,-119.9817,239,CA
USC00041277,-1.6570,-1.5020,-0.5890,0.4130,5.3420,9.1750,13.3420,11.9020,9.5370,5.1140,1.1210,-1.6210,USC00041277,38.2769,-120.3114,1431,CA
USC00041312,2.4790,3.0470,3.9420,4.0510,7.1400,9.5380,10.9210,10.2610,9.0180,6.5850,3.9830,2.8270,USC00041312,38.5961,-122.6014,122,CA
USC00041316,-3.6710,-2.8490,-1.6760,-0.1200,3.2210,6.1500,9.6940,8.2590,4.4870,1.2040,-1.8310,-3.3880,USC00041316,41.3111,-122.8045,971,CA
USC00041428,4.3610,5.9770,6.9610,7.6970,11.4620,14.4910,17.4300,16.5140,15.4020,11.6560,7.8840,5.1470,USC00041428,38.2486,-120.8433,201,CA
USC00041476,-6.0950,-5.2780,-3.5400,-1.9900,2.2530,5.1800,9.0120,6.9740,2.9380,-1.4940,-4.4660,-6.2310,USC00041476,41.4219,-120.9017,1314,CA
USC00041484,3.7540,4.4830,5.4850,6.4750,9.8990,11.6990,14.2900,13.3290,12.5110,9.5410,5.9410,3.2020,USC00041484,34.1819,-118.5744,241,CA
USC00041497,-4.6340,-4.0160,-2.6030,-0.8510,3.2400,6.7300,10.1690,8.7740,5.6730,1.8410,-1.8470,-4.0570,USC00041497,40.1703,-121.0883,1390,CA
USC00041606,-1.6220,-1.3370,-0.2450,1.0960,5.1720,7.8400,11.2380,9.1280,6.5110,2.3610,0.0130,-0.6640,USC00041606,41.1417,-123.1392,704,CA
USC00041614,-5.1880,-4.2180,-2.4030,-0.3850,4.5730,8.5430,13.2500,10.6030,5.9140,1.1220,-2.9850,-5.3370,USC00041614,41.5306,-120.1803,1409,CA
USC00041697,-0.5910,-0.6560,0.6960,1.8130,6.8990,10.8090,15.0090,13.6730,11.1620,6.6300,2.7290,-0.5580,USC00041697,37.9747,-119.9161,1452,CA
USC00041700,-5.7700,-5.0950,-3.4370,-1.6840,2.4690,5.7150,9.5580,7.6960,4.6320,0.7730,-2.4680,-4.5730,USC00041700,40.3033,-121.2422,1381,CA
USC00041715,2.0360,3.5820,4.9150,6.6680,11.2390,13.7300,16.1920,14.5470,12.4780,8.1820,4.3810,2.5900,USC00041715,39.6911,-121.8211,56,CA
USC00041758,7.1350,8.0650,9.8730,10.9910,13.8830,15.8000,18.1260,18.3770,16.7650,14.0080,10.1300,7.3100,USC00041758,32.64,-117.0858,17,CA
USC00041806,0.1930,1.0390,2.1610,3.5180,7.3990,10.5850,12.7410,11.6880,9.1450,5.3170,2.3290,0.6470,USC00041806,38.9239,-122.5672,411,CA
USC00041838,3.8870,4.8610,5.8470,6.6330,10.0040,12.8320,13.1280,12.8100,11.9630,9.3680,6.2780,4.2180,USC00041838,38.8,-123.0175,101,CA
USC00041864,2.5400,4.3320,5.8630,7.7020,12.7510,16.5100,20.4910,18.3390,15.1620,10.1020,5.0930,3.3220,USC00041864,36.1356,-120.3606,204,CA
USC00041912,1.0350,1.8220,3.1550,4.4500,9.3670,12.8230,17.0920,15.1550,12.9280,8.2130,4.2570,1.5310,USC00041912,39.0911,-120.9481,725,CA
USC00041948,3.9950,5.5300,6.6170,7.1630,11.8750,14.5030,15.4590,14.0370,11.8510,8.7440,6.1470,3.9690,USC00041948,39.1875,-122.0269,15,CA
USC00041967,4.6030,6.2530,7.6240,8.5350,11.5160,13.5360,14.3280,14.3630,13.5450,11.0150,7.1890,5.2480,USC00041967,37.9833,-122.0692,12,CA
USC00042012,2.3130,3.8520,5.6700,7.3430,11.6400,14.6500,17.9020,16.1910,13.4790,9.2650,4.9210,2.6480,USC00042012,36.0975,-119.5817,61,CA
USC00042081,-0.3600,0.5100,1.6090,2.8270,5.5550,8.3480,11.4120,9.6690,6.7160,3.3890,1.6580,0.5820,USC00042081,39.8158,-123.2444,431,CA
USC00042147,3.8550,4.0430,4.6360,5.1580,7.1740,8.9480,10.5590,10.5750,8.7330,6.9250,5.2150,4.2140,USC00042147,41.7958,-124.2147,13,CA
