STNID,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,_ID,_LATITUDE,_LONGITUDE,_ELEVATION,_STATE
USC00041606,-1.7910,-1.4300,0.0210,2.0080,4.3210,7.7600,9.3800,8.5570,5.7540,2.3210,-0.2760,-2.0230,USC00041606,41.1417,-123.1392,704,CA
USC00041614,-7.3610,-5.7380,-1.7660,1.1390,4.0320,8.5310,11.5540,10.9700,5.7470,0.8200,-4.1710,-7.8210,USC00041614,41.5306,-120.1803,1409,CA
USC00041697,-1.6270,-1.4300,-0.4210,2.6150,5.8150,10.2220,13.0060,12.9590,9.5130,5.1340,0.7020,-1.5750,USC00041697,37.9747,-119.9161,1452,CA
USC00041700,-7.3750,-6.4990,-3.2300,-1.4310,1.2500,5.2430,6.8810,6.0930,3.2240,-0.3540,-3.5090,-6.4600,USC00041700,40.3033,-121.2422,1381,CA
USC00041715,1.4830,3.0810,5.3700,7.5460,10.7250,13.4070,15.1790,14.3830,12.2230,8.0820,4.4940,1.3680,USC00041715,39.6911,-121.8211,56,CA
USC00041758,7.2260,7.9560,9.6810,11.7270,13.8430,15.7020,17.8480,18.5120,17.1320,14.2720,9.9140,7.0980,USC00041758,32.64,-117.0858,17,CA
USC00041806,-0.6320,0.5440,2.2850,4.3810,6.6840,10.7010,12.2350,11.4800,9.0960,5.2350,1.5760,-0.7470,USC00041806,38.9239,-122.5672,411,CA
USC00041838,3.2010,4.6980,5.8710,7.6070,9.1610,12.2820,12.2630,12.0960,11.4030,8.9600,5.9560,3.0660,USC00041838,38.8,-123.0175,101,CA
USC00041864,2.0600,3.6630,6.0680,8.2890,11.5970,15.5590,18.4500,17.7010,14.7770,9.8970,5.1120,1.7010,USC00041864,36.1356,-120.3606,204,CA
USC00041912,1.3630,2.3080,3.8470,6.3560,9.2160,13.4980,16.1030,15.3270,12.2760,8.4040,3.7330,1.3130,USC00041912,39.0911,-120.9481,725,CA
USC00041948,3.4030,4.9760,6.8230,8.0910,11.4810,14.0640,15.1050,14.0550,12.2620,9.0370,5.4620,3.3310,USC00041948,39.1875,-122.0269,15,CA
USC00041967,4.0750,5.7440,7.7200,9.3440,11.1710,13.3040,14.0740,14.5840,13.2900,10.8550,7.2950,4.2930,USC00041967,37.9833,-122.0692,12,CA
USC00042012,1.5430,3.2350,5.7790,7.8810,10.6600,14.2770,16.3620,15.8620,13.1590,8.7140,3.8530,1.0050,USC00042012,36.0975,-119.5817,61,CA
USC00042081,-0.9150,0.2520,2.2010,3.4250,5.4720,9.0620,10.9880,10.4050,7.4650,4.0400,1.0320,-0.9290,USC00042081,39.8158,-123.2444,431,CA
USC00042147,3.3820,3.6200,4.6210,5.2180,6.5540,8.3820,9.4740,9.8720,8.6550,7.1280,5.0820,3.1780,USC00042147,41.7958,-124.2147,13,CA
USC00042214,8.1980,8.9570,10.1680,11.7000,13.5130,15.3150,16.9590,17.1200,16.4820,14.0090,10.3570,8.1550,USC00042214,34.0053,-118.4136,21,CA
USC00042239,-2.4280,-2.2750,-0.2860,1.7160,3.8280,8.0420,10.9700,10.4030,7.3350,2.3240,-0.7810,-3.0170,USC00042239,32.9897,-116.5872,1414,CA
USC00042294,3.0130,4.3910,6.3430,8.0440,10.4390,13.1490,13.7330,13.0770,12.3020,9.1650,5.4550,2.7360,USC00042294,38.535,-121.7761,18,CA
USC00042319,4.3680,8.0550,12.6080,17.1200,21.9770,27.2520,30.0640,28.9890,23.6380,15.3310,8.6610,3.3860,USC00042319,36.4622,-116.8669,-59,CA
USC00042331,-7.6950,-4.1850,-1.0900,2.6120,7.0110,11.9760,14.8350,13.4650,9.3420,3.3370,-3.5730,-8.3160,USC00042331,37.3739,-117.9803,1593,CA
USC00042338,-0.1070,-0.5290,0.5100,3.4130,6.6730,10.9290,14.3820,14.8320,11.4840,7.5590,2.4100,-0.0460,USC00042338,39.3,-120.8333,1358,CA
USC00042402,-0.2420,0.7380,2.4260,4.6530,7.1630,10.8360,12.4540,12.0260,9.1390,5.8490,1.6190,-0.4490,USC00042402,39.8717,-121.6108,826,CA
USC00042456,0.2780,1.7310,3.1060,5.2650,7.6510,10.7140,12.8630,12.2410,9.9650,6.5550,2.4920,0.2280,USC00042456,39.3575,-121.2011,500,CA
USC00042467,-10.2620,-9.4750,-5.7960,-2.9430,-0.7170,3.0990,4.9200,4.7950,1.8330,-2.0700,-5.4330,-9.0840,USC00042467,39.3239,-120.2331,1810,CA
USC00042500,-2.0200,-1.5810,0.0250,2.1170,4.5690,7.5880,9.1520,8.9760,6.8210,3.0880,-0.0840,-2.1590,USC00042500,39.5633,-120.8239,889,CA
USC00042506,-5.7450,-4.2030,-1.1730,1.0040,3.5370,7.0580,9.4880,8.9740,5.4250,1.0770,-2.7970,-6.0710,USC00042506,39.9717,-120.0828,1338,CA
USC00042574,-0.7030,-0.4080,1.0410,3.5630,6.5420,10.5270,11.7610,10.4410,8.1170,4.2840,0.9600,-1.0080,USC00042574,41.1833,-122.2736,661,CA
USC00042598,7.2580,9.1700,12.0770,16.1910,20.3000,25.2890,27.9440,26.9100,23.2920,17.5150,11.3460,6.8720,USC00042598,33.8089,-115.4508,297,CA
USC00042640,-1.0630,0.7440,2.3420,4.0700,6.7860,10.9400,14.0950,12.9250,10.1040,6.1410,2.4000,-0.7990,USC00042640,39.3592,-122.5178,367,CA
USC00042671,-4.9810,-5.7410,-4.3430,-1.8170,1.3760,6.1570,9.4580,9.6510,6.1810,2.0700,-2.7520,-5.1280,USC00042671,38.7833,-120.0333,2240,CA
USC00042706,4.8450,5.9220,8.4500,10.5670,12.8690,14.8630,17.2770,17.7800,16.2590,13.0680,7.9610,4.5710,USC00042706,32.8139,-116.975,123,CA
USC00042709,4.8390,5.3050,6.9580,8.3200,10.0840,12.0530,13.9280,14.9400,14.2330,11.5500,7.6390,5.3380,USC00042709,32.8839,-116.8164,183,CA
USC00042713,5.7240,7.5750,10.1610,13.1790,16.6020,20.9220,25.2230,25.3990,21.6290,15.6080,9.2220,5.4720,USC00042713,32.7669,-115.5617,-9,CA
USC00042728,-0.1350,1.0410,3.1310,4.9840,7.2720,10.0300,12.0120,11.5870,10.0180,6.7220,2.8300,-0.0440,USC00042728,38.3306,-120.6706,218,CA
USC00042771,-0.7200,1.0980,3.2970,5.8450,9.8230,13.8350,16.0990,15.7260,12.6070,7.3120,2.1330,-1.2290,USC00042771,34.5892,-117.6303,899,CA
USC00042805,3.4370,4.2140,6.0480,8.3470,11.1940,13.9570,16.5030,16.8340,14.7850,10.9980,5.8320,2.9260,USC00042805,33.6692,-117.3319,392,CA
USC00042863,5.4780,6.5130,8.2590,10.6550,12.6610,14.8450,16.8360,17.3410,16.3770,13.0850,8.4110,5.2290,USC00042863,33.1211,-117.0883,183,CA
USC00042934,3.6420,5.7050,7.5170,8.9530,10.9400,13.3180,14.3080,13.8620,13.1220,10.5330,7.0490,3.5220,USC00042934,38.2736,-122.0678,12,CA
