ID;LATITUDE;LONGITUDE;ELEVATION;STATE;NAME;GSNFLAG;HCNFLAG;WMOID;METHOD;field_11;field_12;field_13;field_14
USC00043157;41.52;-120.09;1442.3;CA;FT;BIDWELL;;;;;;;
USC00043161;39.5092;-123.7567;37.5;CA;FT;BRAGG;5;N;HCN;;;;
USC00043244;37.5422;-122.0158;11.6;CA;FREMONT;;;;;;;;
USC00043256;36.7525;-119.7017;100;CA;FRESNO;5;NE;;;;;;
USC00043261;36.9969;-119.7072;125;CA;FRIANT;GOVERNMENT;CAMP;;;;;;
USC00043417;37.0067;-121.5633;59.1;CA;GILROY;;;;;;;;
USC00043489;32.8833;-114.8667;147.8;CA;GOLD;ROCK;RCH;;;;;;
USC00043551;36.7394;-118.9631;2011.7;CA;GRANT;GROVE;;;;;;;
USC00043573;39.2042;-121.0681;731.5;CA;GRASS;VALLEY;#2;;;;;;
USC00043578;38.4306;-122.8647;61;CA;GRATON;;;;;;;;
USC00043647;40.4864;-123.9089;125.9;CA;GRIZZLY;CREEK;SP;;;;;;
USC00043669;37.8444;-120.2258;853.4;CA;GROVELAND;2;;;;;;;
USC00043714;37.4725;-122.4433;8.2;CA;HALF;MOON;BAY;;;;;;
USC00043747;36.3158;-119.6369;72.2;CA;HANFORD;1;S;HCN;;;;;
USC00043824;40.9317;-121.5433;919;CA;HAT;CREEK;;;;;;;
USC00043855;33.7044;-115.6289;417.6;CA;HAYFIELD;PUMPING;PLT;;;;;;
USC00043875;38.6175;-122.8731;32.9;CA;HEALDSBURG;HCN;;;;;;;
USC00043896;33.7381;-116.8939;552;CA;HEMET;;;;;;;;
USC00043914;33.2372;-116.7614;823;CA;HENSHAW;DAM;;;;;;;
USC00043939;37.9614;-119.7831;1179.6;CA;HETCH;HETCHY;;;;;;;
USC00044025;36.8483;-121.4214;83.8;CA;HOLLISTER;2;;;;;;;
USC00044211;33.7572;-116.7067;1639.8;CA;IDYLLWILD;FIRE;DEPT;;;;;;
USC00044223;32.8489;-115.5667;-19.5;CA;IMPERIAL;;;;;;;;
USC00044232;36.7981;-118.2036;1204;CA;INDEPENDENCE;HCN;;;;;;;
USC00044259;33.7086;-116.2153;-6.4;CA;INDIO;FIRE;STN;HCN;;;;;
USC00044278;35.6514;-117.8214;740.7;CA;INYOKERN;;;;;;;;
USC00044297;34.1472;-115.1219;281;CA;IRON;MTN;;;;;;;
USC00044374;41.2683;-120.2947;1645.9;CA;JESS;VALLEY;;;;;;;
USC00044500;37.9569;-122.5439;44.2;CA;KENTFIELD;;;;;;;;
USC00044523;35.7831;-118.4389;823.9;CA;KERN;RIVER;PH;3;;;;;
USC00044555;36.2069;-121.1378;97.5;CA;KING;CITY;;;;;;;
USC00044577;41.5786;-124.0747;8.5;CA;KLAMATH;;;;;;;;
USC00044647;33.5453;-117.7814;13.4;CA;LAGUNA;BEACH;;;;;;;
USC00044671;34.2467;-117.1883;1586.5;CA;LAKE;ARROWHEAD;;;;;;;
USC00044712;38.4919;-122.0039;57.9;CA;LAKE;SOLANO;;;;;;;
USC00044713;39.3183;-120.6392;1571.5;CA;LAKE;SPAULDING;HCN;;;;;;
USC00044735;32.7675;-117.0233;161.5;CA;LA;MESA;;;;;;;
USC00044838;41.7019;-121.5011;1453.9;CA;LAVA;BEDS;NM;;;;;;
USC00044890;36.3817;-119.0264;156.4;CA;LEMON;COVE;HCN;;;;;;
USC00044957;36.2033;-119.0545;132.6;CA;LINDSAY;;;;;;;;
USC00044997;37.6922;-121.7692;146.3;CA;LIVERMORE;HCN;;;;;;;
USC00045026;36.6044;-118.7325;2052.8;CA;LODGEPOLE;;;;;;;;
USC00045032;38.1061;-121.2878;12.2;CA;LODI;HCN;;;;;;;
USC00045064;34.6539;-120.4514;29;CA;LOMPOC;;;;;;;;
USC00045118;37.0564;-120.8667;36.6;CA;LOS;BANOS;;;;;;;
USC00045120;36.9897;-120.9297;124.1;CA;LOS;BANOS;DET;RESV;;;;;
USC00045123;37.2319;-121.9592;111.3;CA;LOS;GATOS;;;;;;;
USC00045233;36.9539;-120.0378;82.3;CA;MADERA;;;;;;;;
USC00045280;37.6478;-118.9617;2378.7;CA;MAMMOTH;LAKES;R.S.;;;;;;
USC00045311;40.5411;-121.5767;1752.6;CA;MANZANITA;LAKE;;;;;;;
USC00045360;38.4917;-122.1242;146.3;CA;MARKLEY;COVE;;;;;;;
USC00045378;38.0131;-122.1142;12.2;CA;MARTINEZ;WTP;;;;;;;
USC00045385;39.1458;-121.5853;17.4;CA;MARYSVILLE;HCN;;;;;;;
USC00045449;41.2514;-122.1383;999.7;CA;MC;CLOUD;;;;;;;
USC00045502;33.5714;-116.0767;-54.9;CA;MECCA;FIRE;STN;;;;;;
USC00045532;37.2858;-120.5117;46.6;CA;MERCED;HCN;;;;;;;
USC00045679;40.3458;-121.6092;1485.9;CA;MINERAL;;;;;;;;
USC00045756;35.0492;-118.1619;833.6;CA;MOJAVE;;;;;;;;
USC00045790;34.0192;-118.1053;75;CA;MONTEBELLO;;;;;;;;
USC00045795;36.5903;-121.91;117.3;CA;MONTEREY;;;;;;;;
USC00045802;36.5928;-121.8556;37.2;CA;MONTEREY;WFO;;;;;;;
USC00046074;38.2778;-122.2647;10.7;CA;NAPA;STATE;HOSPITAL;HCN;;;;;
USC00046136;39.2467;-121.0008;847.6;CA;NEVADA;CITY;;;;;;;
USC00046144;37.5147;-122.0325;3;CA;NEWARK;;;;;;;;
