STNID,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,_ID,_LATITUDE,_LONGITUDE,_ELEVATION,_STATE
USC00041606,7.1280,10.1880,12.8550,17.9310,21.7220,26.8680,30.8950,31.9160,26.2120,20.4340,10.0390,5.3290,USC00041606,41.1417,-123.1392,704.1,CA
USC00041614,4.1910,6.2850,10.3080,15.3710,19.1880,25.6000,30.1030,29.9960,24.3820,18.1950,8.3710,4.1060,USC00041614,41.5306,-120.1803,1408.5,CA
USC00041697,9.5220,10.5010,11.8450,16.8500,21.0620,26.5960,30.3790,30.1080,24.9730,19.2990,11.6620,8.7280,USC00041697,37.9747,-119.9161,1452.4,CA
USC00041700,5.8820,7.8680,10.5580,15.4010,19.6530,24.7200,28.5930,28.8160,24.1350,18.4810,9.3980,5.5370,USC00041700,40.3033,-121.2422,1380.7,CA
USC00041715,12.5490,16.3600,18.5950,23.1950,27.6480,31.9010,34.5550,33.8820,30.9530,25.8320,17.5040,12.9020,USC00041715,39.6911,-121.8211,56.4,CA
USC00041758,19.7350,19.9310,19.6360,20.6760,21.2190,22.2190,24.6490,25.3480,25.3680,24.0210,21.5780,19.3820,USC00041758,32.64,-117.0858,17.1,CA
USC00041806,13.2630,14.9570,16.5600,20.8030,24.7250,29.6860,33.2180,32.9450,28.9290,23.2320,15.9820,12.5560,USC00041806,38.9239,-122.5672,411.2,CA
USC00041838,14.7770,17.3550,18.8760,22.8070,26.3580,30.2000,33.0710,32.6710,30.2810,25.2540,18.1720,14.2660,USC00041838,38.8,-123.0175,100.6,CA
USC00041864,14.4320,18.6900,21.5460,25.9020,30.6710,34.4490,37.0450,36.4220,32.7440,27.7500,19.7640,14.4450,USC00041864,36.1356,-120.3606,204.2,CA
USC00041912,10.6310,11.6590,12.4530,16.6250,20.9130,25.7300,29.7650,29.1760,25.2390,20.3260,12.3490,9.7260,USC00041912,39.0911,-120.9481,725.4,CA
USC00041948,11.7440,15.7540,18.2740,23.0790,27.5880,31.7910,34.3410,33.3110,30.3630,25.2050,16.6570,11.7710,USC00041948,39.1875,-122.0269,15.2,CA
USC00041967,12.9050,16.4670,18.0180,21.6340,24.5570,28.2060,31.3060,29.9770,28.8580,24.4100,17.2260,12.4980,USC00041967,37.9833,-122.0692,12.2,CA
USC00042012,11.9250,16.6130,19.8030,24.8570,29.4650,33.4590,35.9150,34.8090,31.2800,26.4480,17.7990,11.6080,USC00042012,36.0975,-119.5817,61,CA
USC00042081,11.9710,14.6170,16.5240,20.6560,24.5420,29.7580,33.5910,33.8950,29.8550,24.1940,14.9540,11.8720,USC00042081,39.8158,-123.2444,430.7,CA
USC00042147,11.9950,11.9560,12.7820,13.6150,15.1160,16.6830,17.9240,17.9980,17.9840,15.9870,13.2890,11.5840,USC00042147,41.7958,-124.2147,13.1,CA
USC00042214,17.6510,18.2340,19.1170,20.9620,21.8570,23.6920,25.7250,25.7610,25.2050,22.9800,19.3060,17.0210,USC00042214,34.0053,-118.4136,20.7,CA
USC00042239,10.9610,11.9690,13.3620,16.8550,20.0160,25.3180,28.4900,28.5100,25.4140,20.3710,14.7460,10.9170,USC00042239,32.9897,-116.5872,1414.3,CA
USC00042294,11.5950,15.8160,18.1380,23.1230,27.2590,31.8290,34.1240,33.1660,30.5040,25.6640,17.2040,11.5200,USC00042294,38.535,-121.7761,18.3,CA
USC00042319,19.4430,23.1530,27.5900,33.0510,37.7950,43.0550,45.8240,44.6740,40.2410,33.0890,24.6470,17.8760,USC00042319,36.4622,-116.8669,-59.1,CA
USC00042331,8.4880,11.2210,14.4720,19.9890,24.0430,30.0540,32.6470,31.1530,26.1370,20.3680,11.7550,7.7400,USC00042331,37.3739,-117.9803,1592.6,CA
USC00042338,10.8470,11.0360,12.0580,16.5500,20.6260,25.7550,29.1740,29.7460,25.4880,19.5360,12.4170,9.8380,USC00042338,39.3,-120.8333,1357.9,CA
USC00042402,11.1750,12.8410,13.9380,18.5200,22.9820,27.7190,31.1970,31.2490,27.3190,21.6760,13.0850,10.1570,USC00042402,39.8717,-121.6108,826,CA
USC00042456,13.1350,14.6910,15.9310,20.3530,24.3860,29.1130,33.0870,33.2720,29.1370,24.1540,15.7850,12.7390,USC00042456,39.3575,-121.2011,499.9,CA
