STNID,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,_ID,_LATITUDE,_LONGITUDE,_ELEVATION,_STATE
USC00040029,-4.3770,-2.9020,-1.4830,0.2990,3.6750,6.1960,9.6430,8.8190,5.8260,1.2930,-2.7000,-5.5120,USC00040029,41.1936,-120.9447,1279,CA
USC00040136,6.8540,7.1690,7.5940,8.7440,10.8930,12.8660,15.9930,18.4150,16.5500,12.9040,8.7230,6.4550,USC00040136,32.8358,-116.7775,517,CA
USC00040161,-7.6970,-5.4910,-3.7540,-1.7690,1.3280,4.1600,6.0410,4.7240,1.9390,-2.7560,-5.3580,-7.8920,USC00040161,41.4931,-120.5528,1341,CA
USC00040192,8.9460,9.3060,10.1120,11.7090,14.0080,15.7420,17.6060,18.1640,16.9880,14.2930,10.5080,8.1070,USC00040192,33.8647,-117.8425,102,CA
USC00040212,3.9780,4.6050,4.9390,5.9760,8.1100,10.4760,12.3490,12.5530,12.1610,9.7930,5.7090,3.9130,USC00040212,38.5731,-122.4406,523,CA
USC00040232,4.4910,6.6500,7.5050,9.4230,11.7160,14.0790,15.0570,15.0200,14.1860,11.6780,7.3850,3.5340,USC00040232,37.9856,-121.7458,18,CA
USC00040343,1.7010,3.3870,4.3190,5.7290,9.7500,13.8180,17.3080,17.4850,14.5800,9.6690,4.5030,1.2400,USC00040343,36.4914,-118.8253,521,CA
USC00040379,2.3090,4.0240,5.2740,6.9120,10.6300,14.5200,18.7120,18.8550,16.2190,11.0140,5.1750,1.9950,USC00040379,37.0919,-119.5128,637,CA
USC00040383,4.1090,5.6520,6.5750,7.7340,11.0220,14.2040,17.1030,17.2450,15.8420,11.6470,6.8500,3.4710,USC00040383,38.9072,-121.0839,394,CA
USC00040436,2.6070,6.2230,8.4400,10.5000,16.8480,21.6090,24.6260,24.9650,20.1140,11.5710,4.9210,1.3670,USC00040436,35.2761,-116.0628,293,CA
USC00040449,3.3250,4.5120,5.7980,7.4890,11.4490,14.6480,18.9780,19.8150,16.8100,11.7960,6.4090,2.9870,USC00040449,36.9092,-119.0883,524,CA
USC00040521,1.6310,4.4130,6.4420,9.9570,13.1020,16.8440,20.6920,20.4360,16.6980,10.8310,5.1430,0.6990,USC00040521,34.8928,-117.0219,677,CA
USC00040673,3.2980,4.4000,4.6190,5.2850,7.4670,8.8970,10.3490,10.0200,9.2750,6.4150,3.8860,2.1210,USC00040673,37.0856,-122.0797,128,CA
USC00040693,6.2420,7.4680,7.7290,8.2700,9.9250,10.7930,11.7890,12.5580,12.1280,11.3200,8.1410,6.1090,USC00040693,37.8744,-122.2606,95,CA
USC00040738,2.3510,2.7170,3.1060,4.1940,6.8730,9.0900,11.1230,10.6990,8.8540,4.5110,4.0800,1.9640,USC00040738,40.7406,-123.2078,382,CA
USC00040741,-5.2370,-4.8110,-3.8540,-1.6620,1.9380,4.8700,8.3420,8.7120,5.3240,0.0860,-3.6560,-5.8360,USC00040741,34.2442,-116.9039,2060,CA
USC00040790,6.1450,6.4250,6.4160,6.2790,7.5950,8.6530,10.2680,9.7990,9.9170,8.6390,6.7510,5.5300,USC00040790,36.2472,-121.7803,61,CA
USC00040924,4.7400,7.1400,9.2760,12.1750,17.1420,20.6670,24.6680,25.4370,21.5220,13.6570,7.0610,3.7960,USC00040924,33.6131,-114.5972,82,CA
