STNID,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,_ID,_LATITUDE,_LONGITUDE,_ELEVATION,_STATE
USC00040029,7.7660,9.0280,12.4190,15.1170,21.3590,25.8040,32.1270,30.6890,27.2540,19.7740,11.3800,6.0220,USC00040029,41.1936,-120.9447,1278.6,CA
USC00040136,17.2750,17.2400,19.0210,19.8870,23.6510,26.6570,30.3630,30.5380,29.5910,24.5730,21.2060,16.6600,USC00040136,32.8358,-116.7775,516.6,CA
USC00040161,6.4930,7.8830,11.7520,14.2440,20.6340,26.3000,32.7780,31.0750,26.6210,19.1670,11.0520,5.1250,USC00040161,41.4931,-120.5528,1341.1,CA
USC00040192,21.4860,20.9730,22.7270,23.3530,25.5950,27.1200,30.3910,30.6590,30.4010,26.8670,24.3450,20.1480,USC00040192,33.8647,-117.8425,102.1,CA
USC00040212,11.7090,12.9830,16.3190,17.6920,23.2780,26.6210,29.4660,29.1310,27.3310,21.8740,15.3160,10.8300,USC00040212,38.5731,-122.4406,522.7,CA
USC00040232,12.7460,15.7660,19.4690,21.6090,26.9470,30.4840,33.4880,32.0800,30.0410,24.5140,17.9130,12.9600,USC00040232,37.9856,-121.7458,18.3,CA
USC00040343,15.0430,16.6610,19.9980,21.5080,28.4380,33.9720,38.6910,37.4770,34.6660,27.1910,20.0640,14.7590,USC00040343,36.4914,-118.8253,520.6,CA
USC00040379,11.4930,13.0350,16.0200,18.3350,25.5560,30.4530,35.0110,33.5170,30.1980,22.9560,16.2200,11.3710,USC00040379,37.0919,-119.5128,637,CA
USC00040383,12.8150,14.9950,17.7720,19.1940,25.2940,30.1690,34.1290,32.9010,30.1690,24.4940,17.5980,12.7530,USC00040383,38.9072,-121.0839,393.8,CA
USC00040436,17.3900,19.6210,25.0150,28.6540,35.3350,40.5480,43.8680,42.2530,38.4830,30.4160,22.7460,16.3750,USC00040436,35.2761,-116.0628,293.2,CA
USC00040449,10.6080,12.7840,17.6290,19.7150,25.6270,30.3020,35.8780,35.0140,32.1500,24.8220,15.4280,10.4650,USC00040449,36.9092,-119.0883,524.3,CA
USC00040521,14.5170,16.1660,20.8530,24.0030,30.7170,35.7600,39.5080,37.9850,33.7920,26.3120,19.4190,13.4380,USC00040521,34.8928,-117.0219,676.7,CA
USC00040673,16.2820,16.9790,20.0830,20.2990,24.5350,27.6010,28.9960,29.1340,29.1420,25.3400,20.1850,15.1350,USC00040673,37.0856,-122.0797,128,CA
USC00040693,14.1150,15.8600,18.3830,19.1270,21.6950,23.8760,23.7630,23.8280,24.4710,22.2340,18.2180,14.0610,USC00040693,37.8744,-122.2606,94.5,CA
