STNID;M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;M11;M12;_ID;_LATITUDE;_LONGITUDE;_ELEVATION;_STATE
USC00048200;61.7;66.1;73.2;81.5;91.7;99.6;106.5;104.6;97.0;85.3;70.9;59.7;USC00048200;35.9717;-116.2708;471.2;CA
USW00023234;56.3;59.5;62.1;64.7;67.6;70.6;72;72.7;73.6;70.4;62.9;56.6;USW00023234;37.6197;-122.3647;2.4;CA
USC00048207;45.9;47.4;52.3;57.9;66.5;75.7;84;84.1;77.9;66.9;53.1;45.0;USC00048207;39.5678;-120.6228;1292.4;CA
USW00023237;53.9;60.7;66.3;72.6;81.1;88.1;93.4;92.2;87.9;77.9;64.1;53.9;USW00023237;37.8892;-121.2258;7.9;CA
USC00048218;44.4;46.7;53.9;59.7;67.8;76.2;84.4;84.6;78.3;67.8;53.3;43.3;USC00048218;39.5833;-120.3706;1516.4;CA
USW00023239;58.3;61.8;64.6;67.5;69.4;71.6;72;73;74.3;72.3;65.4;58.5;USW00023239;37.7333;-122.3167;4.9;CA
USC00048273;52.1;52.4;55.7;59.5;63.4;71.8;77.1;79.9;75.2;68.0;56.7;51.3;USC00048273;37.3133;-122.185;691.9;CA
USW00023244;58.7;61.8;65;68.7;72.2;76.2;77.1;77.3;77.5;73.4;65.1;58.9;USW00023244;37.4058;-122.0481;11.9;CA
USC00048351;56.3;61.5;65.4;69.6;75.9;83.1;87.2;86.7;84.8;77.4;64.8;56.2;USC00048351;38.2994;-122.4622;29.6;CA
USW00023254;55.9;61;65.8;69.8;76.3;82.6;87;87.2;84.1;76.7;64.1;55.6;USW00023254;37.9917;-122.055;5.5;CA
USW00094299;41.6;46.1;52;57.8;67.8;77.7;88;86.4;77.6;65.2;49.3;40.2;USW00094299;41.4914;-120.5644;1333.5;CA
USC00048353;54.4;57.6;61;66.6;75.7;85;92.4;91.6;85.2;75.2;61.7;54.4;USC00048353;37.9672;-120.3872;510.5;CA
USW00023257;53.2;60.2;65.4;73;82.3;89.5;94.8;93.1;88.3;78.3;64.1;53.4;USW00023257;37.2847;-120.5128;46.3;CA
USC00048380;45.1;46;49.8;54.8;64;72.3;79.7;79.4;73.7;63.6;51.8;44.9;USC00048380;37.5072;-119.6331;1538.3;CA
USW00023258;55.4;62.8;68.7;74.7;82.9;89.9;95.1;93.6;89.0;79.0;65.5;55.6;USW00023258;37.6242;-120.9506;22.3;CA
USC00048490;53;55.4;59.3;63.3;68.5;75.5;82.8;83.3;82.4;70.9;57.4;51.8;USC00048490;39.8778;-123.7275;260;CA
USW00023259;59.5;60.7;60.7;61.4;63.5;66.7;67.2;68.9;69.3;67.2;63.7;60.5;USW00023259;36.5881;-121.8453;50.3;CA
USC00048560;55.8;63;68.4;74.2;81.8;88.7;93.6;92.9;89.5;80.3;66.4;56.5;USC00048560;37.9994;-121.3178;3.7;CA
USW00023271;54.4;61.2;66.8;72.7;80.9;87.9;93.3;92.2;87.9;77.9;63.7;54.3;USW00023271;38.5556;-121.4169;11.6;CA
USC00048587;55.8;59.6;64.2;70.6;80;88.9;96.1;94.5;89.6;78.7;63.8;55.3;USC00048587;39.5858;-122.5339;243.8;CA
USW00023272;56.9;60.2;61.8;63.1;64.3;66.4;66.5;68.1;70.2;69.2;63.1;57.1;USW00023272;37.7706;-122.4269;45.7;CA
