STNID,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,_ID,_LATITUDE,_LONGITUDE,_ELEVATION,_STATE
USC00040029,7.5060,9.5720,12.4800,15.8370,19.7290,24.1620,29.7360,29.8890,26.5490,19.9440,11.2380,6.6360,USC00040029,41.1936,-120.9447,1278.6,CA
USC00040136,17.3210,17.4210,18.1920,21.3180,22.8190,26.4160,29.4510,31.2860,29.0280,25.3530,21.0260,17.5120,USC00040136,32.8358,-116.7775,516.6,CA
USC00040161,6.0950,8.5410,11.7970,14.8360,19.9290,24.7570,30.3670,30.3490,26.3230,19.0690,10.4030,4.9740,USC00040161,41.4931,-120.5528,1341.1,CA
USC00040192,20.7840,21.1810,21.8880,23.8220,24.5370,26.7220,29.0340,31.2860,29.8630,27.4390,23.9160,21.5710,USC00040192,33.8647,-117.8425,102.1,CA
USC00040212,11.2520,13.0010,15.2180,18.4520,21.3490,25.7000,28.7380,29.2620,27.3460,22.4570,14.9260,11.8780,USC00040212,38.5731,-122.4406,522.7,CA
USC00040232,12.8340,15.5990,18.6550,22.0790,25.7250,29.7230,32.8060,32.6810,30.4320,25.2760,17.9430,12.8000,USC00040232,37.9856,-121.7458,18.3,CA
USC00040343,15.7360,17.6390,19.3610,22.1880,27.2460,32.5720,37.0310,37.3420,34.1180,28.0230,19.7460,15.6970,USC00040343,36.4914,-118.8253,520.6,CA
USC00040379,12.0770,13.8480,15.4720,18.9780,23.9490,28.9910,33.0040,33.2740,29.9320,23.6710,15.9160,11.7020,USC00040379,37.0919,-119.5128,637,CA
USC00040383,12.6590,14.5600,16.7980,19.8900,23.8550,28.4800,32.6790,32.7980,29.8880,24.3040,16.5440,12.5480,USC00040383,38.9072,-121.0839,393.8,CA
USC00040436,17.7010,20.2160,24.5250,29.6140,34.3720,39.4730,42.5930,42.4650,37.9290,30.4940,21.6560,16.8280,USC00040436,35.2761,-116.0628,293.2,CA
USC00040449,11.2380,13.8930,17.1310,20.3970,24.6750,28.5590,33.3640,34.6840,31.3370,25.1890,15.4920,10.3510,USC00040449,36.9092,-119.0883,524.3,CA
USC00040521,15.5310,17.6840,20.5730,24.1920,28.8110,34.1420,37.5330,37.5940,33.6060,27.3740,19.7840,14.8640,USC00040521,34.8928,-117.0219,676.7,CA
USC00040673,15.3770,16.8000,18.7960,21.6640,23.5920,26.5290,28.5350,30.3480,28.7390,25.8730,19.0950,15.5600,USC00040673,37.0856,-122.0797,128,CA
USC00040693,14.9480,16.5790,17.7530,19.3160,20.4600,22.4280,22.8400,23.8570,23.2770,22.8280,18.1970,15.1330,USC00040693,37.8744,-122.2606,94.5,CA
USC00040738,10.0720,13.6110,17.2850,20.7240,24.8440,30.1190,35.8180,35.6380,31.8040,24.5330,14.3700,9.2960,USC00040738,40.7406,-123.2078,381.9,CA
