STNID,MEDIA,_ID,_LATITUDE,_LONGITUDE,_ELEVATION,_STATE
USC00040029,1.6102499999999997,USC00040029,41.1936,-120.9447,1279,CA
USC00040136,10.809083333333334,USC00040136,32.8358,-116.7775,517,CA
USC00040161,-2.104,USC00040161,41.4931,-120.5528,1341,CA
USC00040192,13.197250000000002,USC00040192,33.8647,-117.8425,102,CA
USC00040212,7.945166666666666,USC00040212,38.5731,-122.4406,523,CA
USC00040232,9.943083333333334,USC00040232,37.9856,-121.7458,18,CA
USC00040343,8.705166666666667,USC00040343,36.4914,-118.8253,521,CA
USC00040379,9.924999999999999,USC00040379,37.0919,-119.5128,637,CA
USC00040383,10.081750000000001,USC00040383,38.9072,-121.0839,394,CA
USC00040436,13.056416666666665,USC00040436,35.2761,-116.0628,293,CA
USC00040449,10.475833333333334,USC00040449,36.9092,-119.0883,524,CA
USC00040521,10.830083333333334,USC00040521,34.8928,-117.0219,677,CA
USC00040673,6.081583333333334,USC00040673,37.0856,-122.0797,128,CA
USC00040693,8.974833333333333,USC00040693,37.8744,-122.2606,95,CA
USC00040738,5.667166666666667,USC00040738,40.7406,-123.2078,382,CA
USC00040741,0.47550000000000003,USC00040741,34.2442,-116.9039,2060,CA
USC00040790,7.561166666666668,USC00040790,36.2472,-121.7803,61,CA
USC00040924,13.943000000000003,USC00040924,33.6131,-114.5972,82,CA
USC00040931,-4.465916666666667,USC00040931,39.3886,-120.0936,1699,CA
USC00040943,-7.531166666666665,USC00040943,38.2119,-119.0142,2551,CA
USC00040983,14.658666666666667,USC00040983,33.2314,-116.4144,245,CA
USC00041018,4.327333333333334,USC00041018,39.4539,-120.6556,1641,CA
USC00041048,14.053250000000004,USC00041048,32.9544,-115.5581,-31,CA
USC00041072,-4.60425,USC00041072,38.2575,-119.2286,1972,CA
USC00041214,0.9864999999999996,USC00041214,40.8803,-121.6547,975,CA
USC00041244,10.360833333333334,USC00041244,35.4047,-119.4731,82,CA
USC00041253,7.1114999999999995,USC00041253,34.5825,-119.9817,239,CA
USC00041277,4.2147499999999996,USC00041277,38.2769,-120.3114,1431,CA
USC00041312,6.149333333333332,USC00041312,38.5961,-122.6014,122,CA
USC00041316,1.6233333333333337,USC00041316,41.3111,-122.8045,971,CA
USC00041428,10.415166666666666,USC00041428,38.2486,-120.8433,201,CA
USC00041476,-0.2280833333333331,USC00041476,41.4219,-120.9017,1314,CA
USC00041484,8.384083333333333,USC00041484,34.1819,-118.5744,241,CA
USC00041497,1.5349166666666665,USC00041497,40.1703,-121.0883,1390,CA
USC00041606,3.290916666666666,USC00041606,41.1417,-123.1392,704,CA
USC00041614,1.9574166666666668,USC00041614,41.5306,-120.1803,1409,CA
USC00041697,5.634583333333333,USC00041697,37.9747,-119.9161,1452,CA
USC00041700,0.6513333333333334,USC00041700,40.3033,-121.2422,1381,CA
USC00041715,8.378333333333334,USC00041715,39.6911,-121.8211,56,CA
USC00041758,12.538583333333333,USC00041758,32.64,-117.0858,17,CA
USC00041806,5.5635,USC00041806,38.9239,-122.5672,411,CA
USC00041838,8.48575,USC00041838,38.8,-123.0175,101,CA
USC00041864,10.183916666666667,USC00041864,36.1356,-120.3606,204,CA
USC00041912,7.652333333333334,USC00041912,39.0911,-120.9481,725,CA
USC00041948,9.1575,USC00041948,39.1875,-122.0269,15,CA
USC00041967,9.812916666666668,USC00041967,37.9833,-122.0692,12,CA
USC00042012,9.156166666666667,USC00042012,36.0975,-119.5817,61,CA
USC00042081,4.326250000000001,USC00042081,39.8158,-123.2444,431,CA
USC00042147,6.669583333333333,USC00042147,41.7958,-124.2147,13,CA
USC00042214,12.415,USC00042214,34.0053,-118.4136,21,CA
USC00042239,4.17875,USC00042239,32.9897,-116.5872,1414,CA
