STNID;VALUE1;VALUE2;VALUE3;VALUE4;VALUE5;VALUE6;VALUE7;VALUE8;VALUE9;VALUE10;VALUE11;VALUE12;M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;M11;M12
USC00267369;361S;384S;423S;481S;569S;655S;716S;704S;642S;535S;429S;355S;36.1;38.4;42.3;48.1;56.9;65.5;71.6;70.4;64.2;53.5;42.9;35.5
USC00267450;158R;196R;253R;309R;377R;454R;526R;509R;421R;322R;230R;152R;15.8;19.6;25.3;30.9;37.7;45.4;52.6;50.9;42.1;32.2;23;15.2
USC00267463;185S;243S;321S;385S;487S;566S;622S;594S;500S;379S;261S;175S;18.5;24.3;32.1;38.5;48.7;56.6;62.2;59.4;50;37.9;26.1;17.5
USC00267612;177S;219C;272C;316S;392C;463S;522S;501S;422S;324S;232S;172C;17.7;21.9;27.2;31.6;39.2;46.3;52.2;50.1;42.2;32.4;23.2;17.2
USC00267618;193R;230R;288R;329R;417R;496R;562R;517R;444R;330R;230R;176R;19.3;23;28.8;32.9;41.7;49.6;56.2;51.7;44.4;33;23;17.6
USC00267620;161S;212S;265C;322C;400S;484S;553S;534S;448S;336S;236S;159S;16.1;21.2;26.5;32.2;40;48.4;55.3;53.4;44.8;33.6;23.6;15.9
USC00267640;140R;173R;228R;274R;339R;406R;480R;464R;390R;307R;208R;149R;14;17.3;22.8;27.4;33.9;40.6;48;46.4;39;30.7;20.8;14.9
USC00267690;101R;141R;232R;273R;345R;406R;468R;445R;357R;265R;189R;132R;10.1;14.1;23.2;27.3;34.5;40.6;46.8;44.5;35.7;26.5;18.9;13.2
USC00267697;227R;258R;306R;348R;416R;477R;534R;514R;436R;352R;278R;228R;22.7;25.8;30.6;34.8;41.6;47.7;53.4;51.4;43.6;35.2;27.8;22.8
USC00267750;86R;143R;201S;237S;298S;348R;422R;407S;320R;223S;148R;76R;8.6;14.3;20.1;23.7;29.8;34.8;42.2;40.7;32;22.3;14.8;7.6
USC00267806;236R;246R;274R;306R;364R;427R;483R;483R;429R;353R;284R;233R;23.6;24.6;27.4;30.6;36.4;42.7;48.3;48.3;42.9;35.3;28.4;23.3
USC00267820;213R;242R;291R;333R;408R;483R;548R;529R;457R;358R;269R;216R;21.3;24.2;29.1;33.3;40.8;48.3;54.8;52.9;45.7;35.8;26.9;21.6
USC00267908;159S;204S;260S;313S;395S;479S;544S;517S;427R;321R;225R;156R;15.9;20.4;26;31.3;39.5;47.9;54.4;51.7;42.7;32.1;22.5;15.6
USC00267953;293S;320S;363S;407S;485S;566S;640R;636S;563S;468S;369S;300S;29.3;32;36.3;40.7;48.5;56.6;64;63.6;56.3;46.8;36.9;30
USC00268186;203Q;226Q;283Q;329Q;408Q;480Q;533Q;532Q;441Q;343Q;262Q;193Q;20.3;22.6;28.3;32.9;40.8;48;53.3;53.2;44.1;34.3;26.2;19.3
USC00268202;233R;252R;306R;342R;428R;500R;565R;555R;478R;382R;281R;228R;23.3;25.2;30.6;34.2;42.8;50;56.5;55.5;47.8;38.2;28.1;22.8
USC00268346;182R;194R;256R;303R;369R;438R;514R;506R;425R;332R;248R;183R;18.2;19.4;25.6;30.3;36.9;43.8;51.4;50.6;42.5;33.2;24.8;18.3
USC00268443;116R;199R;269R;309R;401R;478R;539R;513R;410R;310R;208R;133R;11.6;19.9;26.9;30.9;40.1;47.8;53.9;51.3;41;31;20.8;13.3
USC00268588;389C;429S;484S;551S;648S;742C;808S;788C;710C;587S;467C;383S;38.9;42.9;48.4;55.1;64.8;74.2;80.8;78.8;71;58.7;46.7;38.3
USC00268761;249S;264S;312S;353S;433S;518S;600S;588S;513S;410S;308S;244S;24.9;26.4;31.2;35.3;43.3;51.8;60;58.8;51.3;41;30.8;24.4
USC00268822;152S;191C;249C;304S;384S;457C;506S;480S;392C;292C;204S;136S;15.2;19.1;24.9;30.4;38.4;45.7;50.6;48;39.2;29.2;20.4;13.6
USC00268838;195R;243R;285R;342R;421R;495R;559R;529R;437R;339R;247R;192R;19.5;24.3;28.5;34.2;42.1;49.5;55.9;52.9;43.7;33.9;24.7;19.2
USC00268988;119R;153R;236R;283R;353R;423R;489R;468R;385R;282R;200R;119R;11.9;15.3;23.6;28.3;35.3;42.3;48.9;46.8;38.5;28.2;20;11.9
USC00269072;12S;32S;140S;219S;285S;344S;389S;367S;287S;210S;144S;36S;1.2;3.2;14;21.9;28.5;34.4;38.9;36.7;28.7;21;14.4;3.6
USC00269168;187R;226R;262R;317R;400R;480R;547R;511R;408R;320R;238R;183R;18.7;22.6;26.2;31.7;40;48;54.7;51.1;40.8;32;23.8;18.3
USC00269229;216S;255S;312R;362S;441S;512S;570S;553S;476R;375S;273R;211S;21.6;25.5;31.2;36.2;44.1;51.2;57;55.3;47.6;37.5;27.3;21.1
USC00270681;65S;90S;185S;309S;420S;510S;554S;534S;456S;347S;265S;138S;6.5;9;18.5;30.9;42;51;55.4;53.4;45.6;34.7;26.5;13.8
USC00270690;47C;66C;167C;303C;409C;507C;550C;528C;449C;344C;260C;128C;4.7;6.6;16.7;30.3;40.9;50.7;55;52.8;44.9;34.4;26;12.8
USC00270706;34R;50R;157R;287R;390R;488R;527R;505R;423R;318R;238R;107R;3.4;5;15.7;28.7;39;48.8;52.7;50.5;42.3;31.8;23.8;10.7
USC00271647;-5S;5S;125S;275S;383S;483S;530S;508S;433S;315S;223S;90S;-0.5;0.5;12.5;27.5;38.3;48.3;53;50.8;43.3;31.5;22.3;9
USC00271950;149R;170R;248R;348R;458R;552R;595R;585R;508R;411R;321R;203R;14.9;17;24.8;34.8;45.8;55.2;59.5;58.5;50.8;41.1;32.1;20.3
USC00271968;-18Q;2Q;100Q;245Q;381Q;476Q;520Q;499Q;431Q;313Q;220Q;76Q;-1.8;0.2;10;24.5;38.1;47.6;52;49.9;43.1;31.3;22;7.6
USC00272174;138S;169S;244S;343S;435S;535S;587S;572C;497C;383C;307C;203C;13.8;16.9;24.4;34.3;43.5;53.5;58.7;57.2;49.7;38.3;30.7;20.3
USC00272302;113Q;133Q;230Q;342Q;441Q;540Q;589Q;570Q;479Q;355Q;285Q;189Q;11.3;13.3;23;34.2;44.1;54;58.9;57;47.9;35.5;28.5;18.9
USC00272800;114S;135S;229S;336S;437S;534S;586S;564S;486S;361S;285S;185S;11.4;13.5;22.9;33.6;43.7;53.4;58.6;56.4;48.6;36.1;28.5;18.5
USC00272999;-34S;-18S;81S;252S;369S;470S;518S;496S;419S;313S;216S;77S;-3.4;-1.8;8.1;25.2;36.9;47;51.8;49.6;41.9;31.3;21.6;7.7
USC00273055;112Q;112Q;209Q;320Q;421Q;515Q;567Q;556Q;475Q;364Q;278Q;170Q;11.2;11.2;20.9;32;42.1;51.5;56.7;55.6;47.5;36.4;27.8;17
USC00273182;63R;97R;204R;314R;416R;516R;562R;548R;462R;343R;271R;154R;6.3;9.7;20.4;31.4;41.6;51.6;56.2;54.8;46.2;34.3;27.1;15.4
USC00273530;43R;55R;160R;279R;385R;486R;530R;512R;435R;312R;244R;124R;4.3;5.5;16;27.9;38.5;48.6;53;51.2;43.5;31.2;24.4;12.4
USC00273626;148S;176S;250S;342S;434S;531S;585S;572S;499S;387S;310S;213S;14.8;17.6;25;34.2;43.4;53.1;58.5;57.2;49.9;38.7;31;21.3
USC00273658;133Q;142Q;229Q;328Q;429Q;512Q;583Q;575Q;494Q;367Q;291Q;180Q;13.3;14.2;22.9;32.8;42.9;51.2;58.3;57.5;49.4;36.7;29.1;18
USC00273850;97S;126S;218S;337S;438S;534S;586S;573S;496S;374S;291S;171S;9.7;12.6;21.8;33.7;43.8;53.4;58.6;57.3;49.6;37.4;29.1;17.1
USC00274234;105R;132R;220R;327R;433R;535R;586R;569R;479R;358R;279R;179R;10.5;13.2;22;32.7;43.3;53.5;58.6;56.9;47.9;35.8;27.9;17.9
