STNID;VALUE1;VALUE2;VALUE3;VALUE4;VALUE5;VALUE6;VALUE7;VALUE8;VALUE9;VALUE10;VALUE11;VALUE12;M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;M11;M12
AQW00061705;773C;775C;775C;773C;773C;769C;763C;763C;767C;769C;773C;773C;77.3;77.5;77.5;77.3;77.3;76.9;76.3;76.3;76.7;76.9;77.3;77.3
CAW00064757;108Q;126Q;202Q;333Q;434Q;530Q;572Q;549Q;478Q;381Q;296Q;184Q;10.8;12.6;20.2;33.3;43.4;53;57.2;54.9;47.8;38.1;29.6;18.4
CQC00914080;734R;729R;731P;739R;755R;753R;751R;752R;750R;749R;750R;741R;73.4;72.9;73.1;73.9;75.5;75.3;75.1;75.2;75;74.9;75;74.1
CQC00914801;740R;733R;741R;750R;756R;761R;754R;750R;748R;751R;753R;752R;74;73.3;74.1;75;75.6;76.1;75.4;75;74.8;75.1;75.3;75.2
FMC00914395;730P;731P;731P;734P;735P;731P;726P;725P;722P;724P;722P;725P;73;73.1;73.1;73.4;73.5;73.1;72.6;72.5;72.2;72.4;72.2;72.5
FMC00914419;750P;751P;751P;751P;753P;750P;748P;750P;751P;751P;751P;752P;75;75.1;75.1;75.1;75.3;75;74.8;75;75.1;75.1;75.1;75.2
FMC00914446;770R;767R;768R;775R;779R;770R;760R;756R;759R;762R;769R;773R;77;76.7;76.8;77.5;77.9;77;76;75.6;75.9;76.2;76.9;77.3
FMC00914482;728P;725P;728P;726P;718P;712P;703P;712P;703P;704P;709P;720P;72.8;72.5;72.8;72.6;71.8;71.2;70.3;71.2;70.3;70.4;70.9;72
FMC00914720;741P;747P;744P;740P;745P;744P;738P;742P;741P;743P;737P;746P;74.1;74.7;74.4;74;74.5;74.4;73.8;74.2;74.1;74.3;73.7;74.6
FMC00914761;736P;736P;739P;736P;736P;733P;730P;729P;731P;733P;737P;737P;73.6;73.6;73.9;73.6;73.6;73.3;73;72.9;73.1;73.3;73.7;73.7
FMC00914831;750R;750R;757R;761R;765R;756R;752R;753R;752R;751R;759R;756R;75;75;75.7;76.1;76.5;75.6;75.2;75.3;75.2;75.1;75.9;75.6
FMC00914892;773R;770R;776R;785R;785R;781R;777R;775R;779R;778R;785R;779R;77.3;77;77.6;78.5;78.5;78.1;77.7;77.5;77.9;77.8;78.5;77.9
FMC00914898;752P;757P;756P;753P;756P;752P;750P;749P;752P;753P;755P;750P;75.2;75.7;75.6;75.3;75.6;75.2;75;74.9;75.2;75.3;75.5;75
FMC00914911;754P;749P;746P;750P;750P;747P;745P;742P;741P;745P;745P;753P;75.4;74.9;74.6;75;75;74.7;74.5;74.2;74.1;74.5;74.5;75.3
FMW00040308;775C;773C;775C;782C;787C;779C;776C;775C;775C;776C;778C;780C;77.5;77.3;77.5;78.2;78.7;77.9;77.6;77.5;77.5;77.6;77.8;78
FMW00040504;745C;747C;747S;745S;744S;740S;730S;727S;724S;724S;730S;740S;74.5;74.7;74.7;74.5;74.4;74;73;72.7;72.4;72.4;73;74
FMW00040505;769S;769S;772S;772S;773S;768S;764S;761S;763P;762S;768S;771S;76.9;76.9;77.2;77.2;77.3;76.8;76.4;76.1;76.3;76.2;76.8;77.1
GQC00914025;758P;754P;760P;771P;781P;782P;771P;768P;769P;773P;775P;769P;75.8;75.4;76;77.1;78.1;78.2;77.1;76.8;76.9;77.3;77.5;76.9
GQW00041415;755C;750C;756C;765C;772C;774C;766C;763C;762S;765S;772C;768C;75.5;75;75.6;76.5;77.2;77.4;76.6;76.3;76.2;76.5;77.2;76.8
JQW00021603;734P;734P;735P;742P;754P;770P;777P;783P;781P;775P;760P;743P;73.4;73.4;73.5;74.2;75.4;77;77.7;78.3;78.1;77.5;76;74.3
PSC00914519;718R;721R;721R;728R;733R;732R;734R;737R;735R;731R;730R;727R;71.8;72.1;72.1;72.8;73.3;73.2;73.4;73.7;73.5;73.1;73;72.7
PSC00914712;759P;758P;760P;764P;766P;756P;756P;761P;763P;762P;763P;761P;75.9;75.8;76;76.4;76.6;75.6;75.6;76.1;76.3;76.2;76.3;76.1
PSW00040309;763S;761S;763S;769S;770C;764C;764C;770C;770C;771C;770C;767C;76.3;76.1;76.3;76.9;77;76.4;76.4;77;77;77.1;77;76.7
RMW00040604;780C;780C;782S;785S;787S;784S;781C;781C;781C;783C;782C;783S;78;78;78.2;78.5;78.7;78.4;78.1;78.1;78.1;78.3;78.2;78.3
RMW00040710;778S;779C;780C;781C;783C;779C;778C;779C;779S;778S;779S;777S;77.8;77.9;78;78.1;78.3;77.9;77.8;77.9;77.9;77.8;77.9;77.7
RQC00660061;537S;531S;539S;569R;596R;612R;611S;609S;608R;597S;590S;561R;53.7;53.1;53.9;56.9;59.6;61.2;61.1;60.9;60.8;59.7;59;56.1
RQC00660152;671S;675S;678S;697S;724S;741S;741S;741S;732R;722S;707S;683S;67.1;67.5;67.8;69.7;72.4;74.1;74.1;74.1;73.2;72.2;70.7;68.3
RQC00660158;617R;608R;613R;631R;657R;671R;670R;678R;676R;671R;647R;638R;61.7;60.8;61.3;63.1;65.7;67.1;67;67.8;67.6;67.1;64.7;63.8
RQC00660410;644R;619R;640R;666R;689R;701R;708R;709R;705R;696R;678R;655R;64.4;61.9;64;66.6;68.9;70.1;70.8;70.9;70.5;69.6;67.8;65.5
RQC00660426;629S;621S;628C;645S;668S;680S;687S;688S;688S;678S;670S;644S;62.9;62.1;62.8;64.5;66.8;68;68.7;68.8;68.8;67.8;67;64.4
RQC00661901;618R;611R;614R;634R;666R;691R;694R;686R;677R;669R;654R;626R;61.8;61.1;61.4;63.4;66.6;69.1;69.4;68.6;67.7;66.9;65.4;62.6
RQC00662336;560R;557R;564R;579R;598R;620R;623S;624S;618R;617R;593R;576R;56;55.7;56.4;57.9;59.8;62;62.3;62.4;61.8;61.7;59.3;57.6
RQC00662801;645S;642S;652S;670S;698S;704S;710S;713S;709C;697S;689S;658S;64.5;64.2;65.2;67;69.8;70.4;71;71.3;70.9;69.7;68.9;65.8
RQC00662934;640R;633R;640R;654R;680S;696S;702R;704S;698S;687R;676S;651R;64;63.3;64;65.4;68;69.6;70.2;70.4;69.8;68.7;67.6;65.1
RQC00663409;657R;673P;673R;696R;715R;724R;735R;734R;729R;719R;710R;680R;65.7;67.3;67.3;69.6;71.5;72.4;73.5;73.4;72.9;71.9;71;68
RQC00663431;639C;631S;636S;658S;684C;698S;706S;708S;702C;694C;681S;656C;63.9;63.1;63.6;65.8;68.4;69.8;70.6;70.8;70.2;69.4;68.1;65.6
RQC00663657;690R;690R;698R;712R;731R;752R;757R;749R;741R;736R;723R;706R;69;69;69.8;71.2;73.1;75.2;75.7;74.9;74.1;73.6;72.3;70.6
RQC00664193;716R;715R;719R;735S;753R;763R;768R;772R;762R;755S;743R;727R;71.6;71.5;71.9;73.5;75.3;76.3;76.8;77.2;76.2;75.5;74.3;72.7
RQC00664276;629S;628S;638S;664S;698C;713C;710C;712C;708C;698S;679S;650S;62.9;62.8;63.8;66.4;69.8;71.3;71;71.2;70.8;69.8;67.9;65
RQC00664702;658S;660S;664S;678S;700S;712S;717S;723S;717S;711C;698S;679S;65.8;66;66.4;67.8;70;71.2;71.7;72.3;71.7;71.1;69.8;67.9
RQC00665064;645S;646S;653S;675S;706S;725S;724S;721S;717R;709S;689S;659S;64.5;64.6;65.3;67.5;70.6;72.5;72.4;72.1;71.7;70.9;68.9;65.9
RQC00665097;622R;620S;635S;662S;694S;705S;702S;703S;701S;691S;670S;631S;62.2;62;63.5;66.2;69.4;70.5;70.2;70.3;70.1;69.1;67;63.1
RQC00665693;690R;690R;698R;723R;746R;760R;756R;750R;753R;745R;723R;698R;69;69;69.8;72.3;74.6;76;75.6;75;75.3;74.5;72.3;69.8
RQC00665807;668S;661R;668R;684R;709S;725C;734S;732S;729R;717S;701S;680R;66.8;66.1;66.8;68.4;70.9;72.5;73.4;73.2;72.9;71.7;70.1;68
RQC00665908;620R;608R;612R;626R;646R;665R;664R;672R;667R;662R;650R;628R;62;60.8;61.2;62.6;64.6;66.5;66.4;67.2;66.7;66.2;65;62.8
RQC00666073;654R;653S;661S;681S;699R;705R;715R;714R;714R;713S;700S;677R;65.4;65.3;66.1;68.1;69.9;70.5;71.5;71.4;71.4;71.3;70;67.7
RQC00666258;691R;681S;690S;703S;717S;734R;733S;739S;730R;720R;723R;700R;69.1;68.1;69;70.3;71.7;73.4;73.3;73.9;73;72;72.3;70
RQC00666992;593R;587R;589R;598R;622R;637R;639R;644R;641R;637R;623R;604R;59.3;58.7;58.9;59.8;62.2;63.7;63.9;64.4;64.1;63.7;62.3;60.4
RQC00667292;671S;665S;672S;693S;719S;736S;735S;736S;729S;724S;705S;681S;67.1;66.5;67.2;69.3;71.9;73.6;73.5;73.6;72.9;72.4;70.5;68.1
RQC00668126;655Q;674Q;670Q;698Q;724Q;730Q;732Q;727Q;719Q;697Q;705Q;691Q;65.5;67.4;67;69.8;72.4;73;73.2;72.7;71.9;69.7;70.5;69.1
RQC00668306;668R;665R;672R;688R;715R;729R;733R;736R;731R;725R;706R;683R;66.8;66.5;67.2;68.8;71.5;72.9;73.3;73.6;73.1;72.5;70.6;68.3
RQC00668881;617R;613R;629R;645R;675R;685R;677R;679R;677R;674R;659R;635R;61.7;61.3;62.9;64.5;67.5;68.5;67.7;67.9;67.7;67.4;65.9;63.5
RQC00669521;671S;667S;671S;688S;712S;728S;730S;732S;729S;723S;706S;682S;67.1;66.7;67.1;68.8;71.2;72.8;73;73.2;72.9;72.3;70.6;68.2
RQC00669608;598R;591R;596R;619R;654R;660R;668R;669R;664R;659R;647R;617R;59.8;59.1;59.6;61.9;65.4;66;66.8;66.9;66.4;65.9;64.7;61.7
RQW00011603;679R;678R;684R;704S;719R;733R;732R;739R;736R;726R;716R;694R;67.9;67.8;68.4;70.4;71.9;73.3;73.2;73.9;73.6;72.6;71.6;69.4
RQW00011630;719R;717R;725R;739R;759R;776R;779R;780R;769R;761R;746R;731R;71.9;71.7;72.5;73.9;75.9;77.6;77.9;78;76.9;76.1;74.6;73.1
RQW00011641;720S;720S;729S;744S;763S;777S;781S;782S;778S;769S;752S;734S;72;72;72.9;74.4;76.3;77.7;78.1;78.2;77.8;76.9;75.2;73.4
USC00010063;290Q;329Q;399Q;478Q;565Q;643Q;681Q;671Q;603Q;480Q;397Q;322Q;29;32.9;39.9;47.8;56.5;64.3;68.1;67.1;60.3;48;39.7;32.2
USC00010160;316S;346S;412S;479S;574S;656S;695S;684S;620S;500S;411S;339S;31.6;34.6;41.2;47.9;57.4;65.6;69.5;68.4;62;50;41.1;33.9
USC00010178;312R;340R;415R;486R;574R;660R;696R;687R;621R;499R;410R;334R;31.2;34;41.5;48.6;57.4;66;69.6;68.7;62.1;49.9;41;33.4
USC00010252;322S;352S;409S;467S;560S;645S;675S;676S;617S;497S;403S;347S;32.2;35.2;40.9;46.7;56;64.5;67.5;67.6;61.7;49.7;40.3;34.7
USC00010260;266Q;297Q;377Q;464Q;559Q;637Q;677Q;664Q;593Q;472Q;385Q;295Q;26.6;29.7;37.7;46.4;55.9;63.7;67.7;66.4;59.3;47.2;38.5;29.5
USC00010369;298S;333S;391S;459S;549S;624S;664S;659S;592S;477S;392S;319S;29.8;33.3;39.1;45.9;54.9;62.4;66.4;65.9;59.2;47.7;39.2;31.9
USC00010390;302R;340R;402R;482R;577R;656R;695R;684R;613R;494R;404R;329R;30.2;34;40.2;48.2;57.7;65.6;69.5;68.4;61.3;49.4;40.4;32.9
USC00010402;371S;401S;466S;529S;618S;685S;709S;705S;656S;551S;463S;394S;37.1;40.1;46.6;52.9;61.8;68.5;70.9;70.5;65.6;55.1;46.3;39.4
USC00010425;332R;379R;427R;497R;588R;669R;704R;698R;644R;533R;439R;355R;33.2;37.9;42.7;49.7;58.8;66.9;70.4;69.8;64.4;53.3;43.9;35.5
USC00010430;338R;373R;442R;513R;602R;670R;703R;705R;646R;548R;450R;363R;33.8;37.3;44.2;51.3;60.2;67;70.3;70.5;64.6;54.8;45;36.3
USC00010505;323R;362S;419R;487S;583S;665S;703S;697S;633S;516S;426R;354R;32.3;36.2;41.9;48.7;58.3;66.5;70.3;69.7;63.3;51.6;42.6;35.4
USC00010583;391S;423S;484S;553S;635S;700S;722S;720S;675S;573S;488S;414S;39.1;42.3;48.4;55.3;63.5;70;72.2;72;67.5;57.3;48.8;41.4
USC00010655;275S;305S;375S;454S;549S;628S;660S;644S;574S;457S;368S;298S;27.5;30.5;37.5;45.4;54.9;62.8;66;64.4;57.4;45.7;36.8;29.8
USC00010764;329S;361S;423S;493S;591S;662S;701S;693S;629S;516S;422S;352S;32.9;36.1;42.3;49.3;59.1;66.2;70.1;69.3;62.9;51.6;42.2;35.2
USC00011080;353S;383C;447C;505C;597S;676C;700C;695C;642S;526S;437C;375C;35.3;38.3;44.7;50.5;59.7;67.6;70;69.5;64.2;52.6;43.7;37.5
USC00011084;365S;394S;446S;506S;594S;671S;702S;700R;643S;526S;437S;382S;36.5;39.4;44.6;50.6;59.4;67.1;70.2;70;64.3;52.6;43.7;38.2
USC00011099;277S;315S;379S;457S;551S;630S;671S;660S;593S;466S;382S;301S;27.7;31.5;37.9;45.7;55.1;63;67.1;66;59.3;46.6;38.2;30.1
USC00011301;352R;385R;452R;520R;604R;680R;703R;699R;646R;536R;444R;373R;35.2;38.5;45.2;52;60.4;68;70.3;69.9;64.6;53.6;44.4;37.3
USC00011324;264R;316R;374R;437R;529R;621R;657R;641R;590R;455R;372R;298R;26.4;31.6;37.4;43.7;52.9;62.1;65.7;64.1;59;45.5;37.2;29.8
USC00011490;279Q;305Q;375Q;449Q;536Q;628Q;668Q;661Q;594Q;471Q;377Q;303Q;27.9;30.5;37.5;44.9;53.6;62.8;66.8;66.1;59.4;47.1;37.7;30.3
USC00011566;330R;360R;421R;490R;580R;648R;685R;681R;623R;509R;418R;350R;33;36;42.1;49;58;64.8;68.5;68.1;62.3;50.9;41.8;35
USC00011620;327S;362S;420S;486S;577S;653S;688S;678S;613S;500S;411S;349S;32.7;36.2;42;48.6;57.7;65.3;68.8;67.8;61.3;50;41.1;34.9
USC00011694;322R;351R;417R;482R;578S;654S;690S;680S;617S;503R;413R;346R;32.2;35.1;41.7;48.2;57.8;65.4;69;68;61.7;50.3;41.3;34.6
USC00011725;321R;355R;417R;475R;564R;646R;675R;667R;614R;507S;416R;344R;32.1;35.5;41.7;47.5;56.4;64.6;67.5;66.7;61.4;50.7;41.6;34.4
USC00011803;389R;417R;471R;541R;629R;695R;718R;717R;672R;568R;474R;413R;38.9;41.7;47.1;54.1;62.9;69.5;71.8;71.7;67.2;56.8;47.4;41.3
USC00012096;286R;326R;387R;464R;554R;636R;673R;666R;605R;480R;392R;315R;28.6;32.6;38.7;46.4;55.4;63.6;67.3;66.6;60.5;48;39.2;31.5
USC00012172;455C;484C;552S;626S;711S;761C;778S;780C;750S;661S;564C;483S;45.5;48.4;55.2;62.6;71.1;76.1;77.8;78;75;66.1;56.4;48.3
USC00012209;318Q;347Q;419Q;507Q;596Q;670Q;708Q;703Q;632Q;522Q;420Q;343Q;31.8;34.7;41.9;50.7;59.6;67;70.8;70.3;63.2;52.2;42;34.3
USC00012245;321R;353R;418S;491R;583R;657R;688R;686R;626R;509R;412R;342R;32.1;35.3;41.8;49.1;58.3;65.7;68.8;68.6;62.6;50.9;41.2;34.2
USC00012675;381S;417S;474S;535S;621S;690S;714S;710S;663S;566S;478S;404R;38.1;41.7;47.4;53.5;62.1;69;71.4;71;66.3;56.6;47.8;40.4
USC00012730;364S;397S;455S;514R;602S;682S;714R;709S;652R;536R;444S;380S;36.4;39.7;45.5;51.4;60.2;68.2;71.4;70.9;65.2;53.6;44.4;38
USC00012758;356R;384S;443R;508S;599S;674S;700S;698S;649S;541S;445R;380S;35.6;38.4;44.3;50.8;59.9;67.4;70;69.8;64.9;54.1;44.5;38
USC00012813;395C;426C;488C;551C;636C;705C;727C;723C;676C;573C;487C;418C;39.5;42.6;48.8;55.1;63.6;70.5;72.7;72.3;67.6;57.3;48.7;41.8
USC00012840;292R;317R;392R;463R;551R;631R;672R;665R;586R;469R;377R;303R;29.2;31.7;39.2;46.3;55.1;63.1;67.2;66.5;58.6;46.9;37.7;30.3
USC00012883;331R;365R;422R;487R;578R;664R;702R;691R;620R;501R;412R;351R;33.1;36.5;42.2;48.7;57.8;66.4;70.2;69.1;62;50.1;41.2;35.1
USC00013043;300Q;336Q;411Q;484Q;574Q;655Q;692Q;691Q;625Q;502Q;407Q;323Q;30;33.6;41.1;48.4;57.4;65.5;69.2;69.1;62.5;50.2;40.7;32.3
USC00013105;366R;402R;454R;523R;614R;679R;703R;697R;649R;545R;455R;387R;36.6;40.2;45.4;52.3;61.4;67.9;70.3;69.7;64.9;54.5;45.5;38.7
USC00013154;308S;344S;411S;489S;582S;666S;706S;697S;630S;511S;405S;336S;30.8;34.4;41.1;48.9;58.2;66.6;70.6;69.7;63;51.1;40.5;33.6
USC00013160;330S;365S;428S;500S;596S;674S;711S;706S;637S;518S;418S;352S;33;36.5;42.8;50;59.6;67.4;71.1;70.6;63.7;51.8;41.8;35.2
USC00013251;353S;386S;447S;509S;599S;675S;700S;698S;646S;534S;443S;378S;35.3;38.6;44.7;50.9;59.9;67.5;70;69.8;64.6;53.4;44.3;37.8
USC00013511;360C;395C;452S;518S;611C;688S;721C;715C;655S;542S;444S;384S;36;39.5;45.2;51.8;61.1;68.8;72.1;71.5;65.5;54.2;44.4;38.4
USC00013519;334C;367C;423C;491C;582C;653S;682C;681C;631C;522C;428C;356C;33.4;36.7;42.3;49.1;58.2;65.3;68.2;68.1;63.1;52.2;42.8;35.6
USC00013573;318S;344S;413S;489S;584S;667S;703S;698S;633S;519S;422S;342S;31.8;34.4;41.3;48.9;58.4;66.7;70.3;69.8;63.3;51.9;42.2;34.2
USC00013575;319R;353R;427R;499R;594R;673R;708R;708R;644R;531R;427R;351R;31.9;35.3;42.7;49.9;59.4;67.3;70.8;70.8;64.4;53.1;42.7;35.1
USC00013620;332S;364S;443S;518S;608S;682S;715S;710S;645S;537S;439S;360S;33.2;36.4;44.3;51.8;60.8;68.2;71.5;71;64.5;53.7;43.9;36
USC00013645;262S;293S;357S;430S;533S;622S;665S;655S;580S;454S;359S;289S;26.2;29.3;35.7;43;53.3;62.2;66.5;65.5;58;45.4;35.9;28.9
USC00013655;302Q;330Q;399Q;475Q;566Q;641Q;683Q;672Q;603Q;488Q;395Q;317Q;30.2;33;39.9;47.5;56.6;64.1;68.3;67.2;60.3;48.8;39.5;31.7
USC00013761;378R;413R;477S;538S;628S;695S;714S;703S;654S;552S;473S;401R;37.8;41.3;47.7;53.8;62.8;69.5;71.4;70.3;65.4;55.2;47.3;40.1
USC00013775;295R;326R;391S;457S;554R;634S;674S;667S;598S;477R;388S;317R;29.5;32.6;39.1;45.7;55.4;63.4;67.4;66.7;59.8;47.7;38.8;31.7
USC00013781;335Q;364Q;424Q;498Q;593Q;669Q;708Q;700Q;634Q;515Q;424Q;354Q;33.5;36.4;42.4;49.8;59.3;66.9;70.8;70;63.4;51.5;42.4;35.4
USC00013816;311S;342S;404S;467S;560S;632C;663S;660S;603S;497S;405S;334S;31.1;34.2;40.4;46.7;56;63.2;66.3;66;60.3;49.7;40.5;33.4
USC00014193;354S;386S;445S;510S;598S;674S;703S;698S;643S;528S;433S;376S;35.4;38.6;44.5;51;59.8;67.4;70.3;69.8;64.3;52.8;43.3;37.6
USC00014226;293R;318R;392R;459R;559R;642R;683R;675R;602R;475R;383R;316R;29.3;31.8;39.2;45.9;55.9;64.2;68.3;67.5;60.2;47.5;38.3;31.6
USC00014502;295R;331R;392R;459S;551R;632R;669R;666R;597R;484R;390R;316R;29.5;33.1;39.2;45.9;55.1;63.2;66.9;66.6;59.7;48.4;39;31.6
USC00014798;324R;358R;419R;490R;587R;666R;699R;693R;627R;501R;404R;343R;32.4;35.8;41.9;49;58.7;66.6;69.9;69.3;62.7;50.1;40.4;34.3
USC00015121;330S;366S;436S;502S;597S;674S;705R;699R;635R;520S;420S;351S;33;36.6;43.6;50.2;59.7;67.4;70.5;69.9;63.5;52;42;35.1
USC00015140;342R;360R;415R;481R;572R;648R;684R;685R;630R;515R;431R;357R;34.2;36;41.5;48.1;57.2;64.8;68.4;68.5;63;51.5;43.1;35.7
USC00015439;347S;378S;440S;502C;600S;679S;714S;709S;647S;529R;437C;373R;34.7;37.8;44;50.2;60;67.9;71.4;70.9;64.7;52.9;43.7;37.3
USC00015553;351R;389R;447R;509R;595R;674R;701R;700R;640R;519R;434R;366R;35.1;38.9;44.7;50.9;59.5;67.4;70.1;70;64;51.9;43.4;36.6
USC00015635;293S;322S;402S;484S;573S;648S;684S;673S;603S;488S;400S;319S;29.3;32.2;40.2;48.4;57.3;64.8;68.4;67.3;60.3;48.8;40;31.9
USC00015752;270Q;299Q;374Q;464Q;565Q;645Q;686Q;672Q;598Q;477Q;385Q;293Q;27;29.9;37.4;46.4;56.5;64.5;68.6;67.2;59.8;47.7;38.5;29.3
USC00016000;321Q;353Q;428Q;492Q;587Q;665Q;698Q;693Q;629Q;500Q;423Q;342Q;32.1;35.3;42.8;49.2;58.7;66.5;69.8;69.3;62.9;50;42.3;34.2
USC00016121;301S;330S;398R;472R;560R;643R;683R;677S;605S;483S;397R;323R;30.1;33;39.8;47.2;56;64.3;68.3;67.7;60.5;48.3;39.7;32.3
USC00016129;320S;351S;408R;469R;567R;645R;685R;680R;617R;502S;408R;342S;32;35.1;40.8;46.9;56.7;64.5;68.5;68;61.7;50.2;40.8;34.2
USC00016196;283Q;310Q;380Q;457Q;551Q;638Q;677Q;665Q;590Q;468Q;378Q;308Q;28.3;31;38;45.7;55.1;63.8;67.7;66.5;59;46.8;37.8;30.8
USC00016478;301S;332S;394S;463S;557S;637S;678S;671S;604S;486S;390S;325S;30.1;33.2;39.4;46.3;55.7;63.7;67.8;67.1;60.4;48.6;39;32.5
USC00016988;381S;409S;472S;534S;620S;693S;718S;716S;666S;557S;471S;406S;38.1;40.9;47.2;53.4;62;69.3;71.8;71.6;66.6;55.7;47.1;40.6
USC00017020;339R;367R;426R;486R;575R;652R;684R;680R;628R;521R;429R;360R;33.9;36.7;42.6;48.6;57.5;65.2;68.4;68;62.8;52.1;42.9;36
USC00017025;308R;348R;411R;469R;553R;636R;671R;661R;594R;476R;392R;337R;30.8;34.8;41.1;46.9;55.3;63.6;67.1;66.1;59.4;47.6;39.2;33.7
USC00017131;301R;327R;396R;470R;559R;643S;685R;674R;604R;484R;398R;322R;30.1;32.7;39.6;47;55.9;64.3;68.5;67.4;60.4;48.4;39.8;32.2
USC00017157;276R;317S;386R;463R;547R;620R;658R;656R;582S;458R;366S;297S;27.6;31.7;38.6;46.3;54.7;62;65.8;65.6;58.2;45.8;36.6;29.7
USC00017207;296C;330C;402C;475S;566S;643C;676C;666C;600S;486C;400C;322S;29.6;33;40.2;47.5;56.6;64.3;67.6;66.6;60;48.6;40;32.2
USC00017304;286S;318C;383S;458C;552R;639S;674S;664S;587S;468S;377S;310S;28.6;31.8;38.3;45.8;55.2;63.9;67.4;66.4;58.7;46.8;37.7;31
USC00017366;354R;389S;447R;510S;605S;683S;713C;709C;655S;540R;437R;373R;35.4;38.9;44.7;51;60.5;68.3;71.3;70.9;65.5;54;43.7;37.3
USC00017999;308S;338S;407S;469S;564S;642S;676S;667S;602S;478S;393S;329S;30.8;33.8;40.7;46.9;56.4;64.2;67.6;66.7;60.2;47.8;39.3;32.9
USC00018024;297S;330S;388S;462S;553S;633S;679S;669S;602S;478S;393S;323S;29.7;33;38.8;46.2;55.3;63.3;67.9;66.9;60.2;47.8;39.3;32.3
USC00018178;354S;388S;455S;516S;608S;679S;707C;701S;646C;539S;452C;375C;35.4;38.8;45.5;51.6;60.8;67.9;70.7;70.1;64.6;53.9;45.2;37.5
USC00018209;345S;380S;443S;513C;603S;680C;710S;703C;644S;533S;441S;367S;34.5;38;44.3;51.3;60.3;68;71;70.3;64.4;53.3;44.1;36.7
USC00018323;360S;394S;450S;515S;604R;680R;710S;707S;655S;547S;452S;385S;36;39.4;45;51.5;60.4;68;71;70.7;65.5;54.7;45.2;38.5
USC00018380;349C;384C;451S;516C;610S;685S;721S;716S;653S;535S;441S;373C;34.9;38.4;45.1;51.6;61;68.5;72.1;71.6;65.3;53.5;44.1;37.3
USC00018438;331C;361S;417C;477C;572C;657C;690C;684C;626S;510C;413C;352S;33.1;36.1;41.7;47.7;57.2;65.7;69;68.4;62.6;51;41.3;35.2
USC00018469;275S;302S;364S;435S;535S;624S;666S;659S;586S;462S;373S;300S;27.5;30.2;36.4;43.5;53.5;62.4;66.6;65.9;58.6;46.2;37.3;30
USC00018517;301R;342S;410S;468S;564S;649S;684S;676S;606R;485R;405R;333R;30.1;34.2;41;46.8;56.4;64.9;68.4;67.6;60.6;48.5;40.5;33.3
USC00018812;306Q;337Q;409Q;476Q;568Q;640Q;682Q;670Q;602Q;488Q;400Q;329Q;30.6;33.7;40.9;47.6;56.8;64;68.2;67;60.2;48.8;40;32.9
USC00018859;349Q;385Q;442Q;498Q;596Q;675Q;708Q;704Q;653Q;540Q;437Q;373Q;34.9;38.5;44.2;49.8;59.6;67.5;70.8;70.4;65.3;54;43.7;37.3
USC00018867;335R;365R;433R;503R;592R;667R;694R;692R;633R;517R;427R;360R;33.5;36.5;43.3;50.3;59.2;66.7;69.4;69.2;63.3;51.7;42.7;36
USC00018998;279R;309R;383R;455S;555S;638C;676S;668S;596R;471R;382R;308R;27.9;30.9;38.3;45.5;55.5;63.8;67.6;66.8;59.6;47.1;38.2;30.8
USC00020060;342R;365R;399R;449R;536R;615R;705R;706R;627R;503R;394R;332R;34.2;36.5;39.9;44.9;53.6;61.5;70.5;70.6;62.7;50.3;39.4;33.2
USC00020080;459Q;479Q;528Q;585Q;666Q;736Q;790Q;783Q;745Q;644Q;544Q;463Q;45.9;47.9;52.8;58.5;66.6;73.6;79;78.3;74.5;64.4;54.4;46.3
USC00020100;359C;393C;447C;512C;606C;688S;769C;761S;678S;551S;431S;353S;35.9;39.3;44.7;51.2;60.6;68.8;76.9;76.1;67.8;55.1;43.1;35.3
USC00020159;144S;178R;215S;257S;314S;375S;455S;453S;385S;291R;206S;146R;14.4;17.8;21.5;25.7;31.4;37.5;45.5;45.3;38.5;29.1;20.6;14.6
USC00020170;206Q;220Q;245Q;291Q;371Q;421Q;495Q;478Q;427Q;344Q;263Q;185Q;20.6;22;24.5;29.1;37.1;42.1;49.5;47.8;42.7;34.4;26.3;18.5
USC00020287;329S;354S;393S;445S;529S;624S;698S;683S;614S;495S;386S;328S;32.9;35.4;39.3;44.5;52.9;62.4;69.8;68.3;61.4;49.5;38.6;32.8
USC00020288;425R;439R;470R;521R;601R;687R;762R;757R;703R;596R;487R;419R;42.5;43.9;47;52.1;60.1;68.7;76.2;75.7;70.3;59.6;48.7;41.9
USC00020404;361Q;397Q;444Q;512Q;600Q;685Q;761Q;757Q;683Q;552Q;430Q;358Q;36.1;39.7;44.4;51.2;60;68.5;76.1;75.7;68.3;55.2;43;35.8
USC00020586;303R;315R;360R;409R;494R;580R;652R;641R;579R;472R;368R;295R;30.3;31.5;36;40.9;49.4;58;65.2;64.1;57.9;47.2;36.8;29.5
USC00020632;414R;446R;483R;531R;617R;688R;768R;767R;700R;616R;497R;434R;41.4;44.6;48.3;53.1;61.7;68.8;76.8;76.7;70;61.6;49.7;43.4
USC00020670;255R;292R;334R;405R;481R;572R;631R;615R;536R;419R;314R;249R;25.5;29.2;33.4;40.5;48.1;57.2;63.1;61.5;53.6;41.9;31.4;24.9
