STNID,MEDIA,_ID,_LATITUDE,_LONGITUDE,_ELEVATION,_STATE
USC00040029,0.9273333333333333,USC00040029,41.1936,-120.9447,1279,CA
USC00040136,10.981,USC00040136,32.8358,-116.7775,517,CA
USC00040161,-1.625,USC00040161,41.4931,-120.5528,1341,CA
USC00040192,12.772666666666666,USC00040192,33.8647,-117.8425,102,CA
USC00040212,7.268749999999998,USC00040212,38.5731,-122.4406,523,CA
USC00040232,9.553666666666667,USC00040232,37.9856,-121.7458,18,CA
USC00040343,8.472666666666667,USC00040343,36.4914,-118.8253,521,CA
USC00040379,9.198833333333333,USC00040379,37.0919,-119.5128,637,CA
USC00040383,9.794666666666666,USC00040383,38.9072,-121.0839,394,CA
USC00040436,12.718416666666664,USC00040436,35.2761,-116.0628,293,CA
USC00040449,9.936166666666667,USC00040449,36.9092,-119.0883,524,CA
USC00040521,9.988833333333334,USC00040521,34.8928,-117.0219,677,CA
USC00040673,5.956,USC00040673,37.0856,-122.0797,128,CA
USC00040693,8.884833333333335,USC00040693,37.8744,-122.2606,95,CA
USC00040738,6.117583333333332,USC00040738,40.7406,-123.2078,382,CA
USC00040741,-0.3776666666666669,USC00040741,34.2442,-116.9039,2060,CA
USC00040790,7.364750000000001,USC00040790,36.2472,-121.7803,61,CA
USC00040924,13.51291666666667,USC00040924,33.6131,-114.5972,82,CA
USC00040931,-4.596500000000001,USC00040931,39.3886,-120.0936,1699,CA
USC00040943,-8.072333333333333,USC00040943,38.2119,-119.0142,2551,CA
USC00040983,13.54425,USC00040983,33.2314,-116.4144,245,CA
USC00041018,3.659333333333333,USC00041018,39.4539,-120.6556,1641,CA
USC00041048,13.212666666666669,USC00041048,32.9544,-115.5581,-31,CA
USC00041072,-4.6370000000000005,USC00041072,38.2575,-119.2286,1972,CA
USC00041214,-3.112833333333333,USC00041214,40.8803,-121.6547,975,CA
USC00041244,9.883166666666668,USC00041244,35.4047,-119.4731,82,CA
USC00041253,7.150333333333333,USC00041253,34.5825,-119.9817,239,CA
USC00041277,3.522583333333334,USC00041277,38.2769,-120.3114,1431,CA
USC00041312,6.71225,USC00041312,38.5961,-122.6014,122,CA
USC00041316,1.4765833333333334,USC00041316,41.3111,-122.8045,971,CA
USC00041428,9.402833333333332,USC00041428,38.2486,-120.8433,201,CA
USC00041476,-0.9157499999999997,USC00041476,41.4219,-120.9017,1314,CA
USC00041484,8.100499999999998,USC00041484,34.1819,-118.5744,241,CA
USC00041497,1.0250833333333331,USC00041497,40.1703,-121.0883,1390,CA
USC00041606,2.8834999999999993,USC00041606,41.1417,-123.1392,704,CA
USC00041614,1.328,USC00041614,41.5306,-120.1803,1409,CA
USC00041697,4.576083333333332,USC00041697,37.9747,-119.9161,1452,CA
USC00041700,-0.5139166666666667,USC00041700,40.3033,-121.2422,1381,CA
USC00041715,8.111749999999999,USC00041715,39.6911,-121.8211,56,CA
USC00041758,12.575916666666666,USC00041758,32.64,-117.0858,17,CA
USC00041806,5.2365,USC00041806,38.9239,-122.5672,411,CA
USC00041838,8.047,USC00041838,38.8,-123.0175,101,CA
USC00041864,9.572833333333334,USC00041864,36.1356,-120.3606,204,CA
USC00041912,7.812,USC00041912,39.0911,-120.9481,725,CA
USC00041948,9.0075,USC00041948,39.1875,-122.0269,15,CA
USC00041967,9.645750000000001,USC00041967,37.9833,-122.0692,12,CA
USC00042012,8.527499999999998,USC00042012,36.0975,-119.5817,61,CA
USC00042081,4.374833333333334,USC00042081,39.8158,-123.2444,431,CA
USC00042147,6.263833333333333,USC00042147,41.7958,-124.2147,13,CA
USC00042214,12.57775,USC00042214,34.0053,-118.4136,21,CA
USC00042239,2.9859166666666663,USC00042239,32.9897,-116.5872,1414,CA
USC00042294,8.487250000000001,USC00042294,38.535,-121.7761,18,CA
USC00042319,16.787416666666665,USC00042319,36.4622,-116.8669,-59,CA
USC00042331,3.14325,USC00042331,37.3739,-117.9803,1593,CA
USC00042338,5.959166666666666,USC00042338,39.3,-120.8333,1358,CA
USC00042402,5.517666666666667,USC00042402,39.8717,-121.6108,826,CA
USC00042456,6.09075,USC00042456,39.3575,-121.2011,500,CA
USC00042467,-2.594416666666666,USC00042467,39.3239,-120.2331,1810,CA
USC00042500,3.041,USC00042500,39.5633,-120.8239,889,CA
USC00042506,1.3811666666666664,USC00042506,39.9717,-120.0828,1338,CA
USC00042574,4.593083333333333,USC00042574,41.1833,-122.2736,661,CA
USC00042598,17.01366666666667,USC00042598,33.8089,-115.4508,297,CA
USC00042640,5.72375,USC00042640,39.3592,-122.5178,367,CA
USC00042671,0.8442500000000003,USC00042671,38.7833,-120.0333,2240,CA
USC00042706,11.202666666666667,USC00042706,32.8139,-116.975,123,CA
USC00042709,9.598916666666666,USC00042709,32.8839,-116.8164,183,CA
USC00042713,14.726333333333335,USC00042713,32.7669,-115.5617,-9,CA
USC00042728,5.787333333333333,USC00042728,38.3306,-120.6706,218,CA
USC00042771,7.152166666666666,USC00042771,34.5892,-117.6303,899,CA
USC00042805,9.589583333333334,USC00042805,33.6692,-117.3319,392,CA
USC00042863,11.3075,USC00042863,33.1211,-117.0883,183,CA
USC00042934,9.372583333333333,USC00042934,38.2736,-122.0678,12,CA
USC00042941,10.157166666666667,USC00042941,34.705,-118.4242,933,CA
USC00043083,9.501416666666666,USC00043083,36.3642,-120.1561,87,CA
USC00043113,9.57175,USC00043113,38.7,-121.1667,107,CA
USC00043157,1.4106666666666665,USC00043157,41.52,-120.09,1442,CA
USC00043161,6.721333333333333,USC00043161,39.5092,-123.7567,38,CA
USC00043191,7.331666666666667,USC00043191,38.515,-123.2447,34,CA
USC00043244,9.392916666666666,USC00043244,37.5422,-122.0158,12,CA
USC00043256,10.473083333333333,USC00043256,36.7525,-119.7017,100,CA
USC00043261,8.3095,USC00043261,36.9969,-119.7072,125,CA
USC00043417,7.536416666666667,USC00043417,37.0067,-121.5633,59,CA
USC00043463,3.4957500000000006,USC00043463,35.7269,-118.7006,957,CA
USC00043489,16.288000000000004,USC00043489,32.8833,-114.8667,148,CA
USC00043551,2.7230000000000003,USC00043551,36.7394,-118.9631,2012,CA
USC00043573,5.8685833333333335,USC00043573,39.2042,-121.0681,732,CA
USC00043578,5.7054166666666655,USC00043578,38.4306,-122.8647,61,CA
USC00043647,6.917000000000001,USC00043647,40.4864,-123.9089,126,CA
USC00043669,4.485166666666667,USC00043669,37.8444,-120.2258,853,CA
USC00043710,9.985249999999999,USC00043710,36.1389,-117.9528,1166,CA
USC00043714,7.755583333333333,USC00043714,37.4725,-122.4433,8,CA
USC00043747,9.611583333333334,USC00043747,36.3158,-119.6369,72,CA
USC00043824,0.11066666666666662,USC00043824,40.9317,-121.5433,919,CA
USC00043855,12.861333333333334,USC00043855,33.7044,-115.6289,418,CA
USC00043875,8.365666666666668,USC00043875,38.6175,-122.8731,33,CA
USC00043896,8.486083333333335,USC00043896,33.7381,-116.8939,552,CA
USC00043914,2.8241666666666667,USC00043914,33.2372,-116.7614,823,CA
USC00043939,5.031333333333333,USC00043939,37.9614,-119.7831,1180,CA
USC00044025,7.390333333333333,USC00044025,36.8483,-121.4214,84,CA
USC00044176,1.034833333333333,USC00044176,37.2275,-119.2206,2140,CA
USC00044211,4.042916666666667,USC00044211,33.7572,-116.7067,1640,CA
USC00044223,13.773666666666669,USC00044223,32.8489,-115.5667,-20,CA
