STNID,MEDIA,_ID,_LATITUDE,_LONGITUDE,_ELEVATION,_STATE
USC00040029,17.773166666666665,USC00040029,41.1936,-120.9447,1278.6,CA
USC00040136,23.095250000000004,USC00040136,32.8358,-116.7775,516.6,CA
USC00040161,17.286666666666665,USC00040161,41.4931,-120.5528,1341.1,CA
USC00040192,25.170250000000006,USC00040192,33.8647,-117.8425,102.1,CA
USC00040212,19.964916666666667,USC00040212,38.5731,-122.4406,522.7,CA
USC00040232,23.046083333333332,USC00040232,37.9856,-121.7458,18.3,CA
USC00040343,25.55825,USC00040343,36.4914,-118.8253,520.6,CA
USC00040379,21.734499999999997,USC00040379,37.0919,-119.5128,637,CA
USC00040383,22.083583333333333,USC00040383,38.9072,-121.0839,393.8,CA
USC00040436,29.82216666666667,USC00040436,35.2761,-116.0628,293.2,CA
USC00040449,22.1925,USC00040449,36.9092,-119.0883,524.3,CA
USC00040521,25.974,USC00040521,34.8928,-117.0219,676.7,CA
USC00040673,22.575666666666667,USC00040673,37.0856,-122.0797,128,CA
USC00040693,19.801333333333336,USC00040693,37.8744,-122.2606,94.5,CA
USC00040738,22.342833333333335,USC00040738,40.7406,-123.2078,381.9,CA
USC00040741,16.170333333333335,USC00040741,34.2442,-116.9039,2060.4,CA
USC00040790,19.830250000000003,USC00040790,36.2472,-121.7803,61,CA
USC00040924,30.76375,USC00040924,33.6131,-114.5972,81.7,CA
USC00040931,16.547250000000002,USC00040931,39.3886,-120.0936,1699.3,CA
USC00040943,13.395166666666666,USC00040943,38.2119,-119.0142,2551.2,CA
USC00040983,30.47966666666667,USC00040983,33.2314,-116.4144,245.4,CA
USC00041018,16.07425,USC00041018,39.4539,-120.6556,1641.3,CA
USC00041048,31.387249999999998,USC00041048,32.9544,-115.5581,-30.5,CA
USC00041072,15.830083333333334,USC00041072,38.2575,-119.2286,1972.1,CA
USC00041214,18.806,USC00041214,40.8803,-121.6547,974.8,CA
USC00041244,25.11683333333333,USC00041244,35.4047,-119.4731,82,CA
USC00041253,25.657166666666665,USC00041253,34.5825,-119.9817,238.7,CA
USC00041277,15.245666666666667,USC00041277,38.2769,-120.3114,1431,CA
USC00041312,23.268,USC00041312,38.5961,-122.6014,121.9,CA
USC00041316,17.716583333333332,USC00041316,41.3111,-122.8045,970.8,CA
USC00041428,22.949166666666667,USC00041428,38.2486,-120.8433,200.6,CA
USC00041476,17.11325,USC00041476,41.4219,-120.9017,1313.7,CA
USC00041484,26.698000000000004,USC00041484,34.1819,-118.5744,240.8,CA
USC00041497,15.31225,USC00041497,40.1703,-121.0883,1389.9,CA
USC00041606,19.01283333333333,USC00041606,41.1417,-123.1392,704.1,CA
USC00041614,16.912166666666668,USC00041614,41.5306,-120.1803,1408.5,CA
USC00041697,18.521166666666666,USC00041697,37.9747,-119.9161,1452.4,CA
USC00041700,15.762833333333333,USC00041700,40.3033,-121.2422,1380.7,CA
USC00041715,23.93558333333333,USC00041715,39.6911,-121.8211,56.4,CA
USC00041758,21.90341666666667,USC00041758,32.64,-117.0858,17.1,CA
USC00041806,21.99775,USC00041806,38.9239,-122.5672,411.2,CA
USC00041838,23.17833333333333,USC00041838,38.8,-123.0175,100.6,CA
USC00041864,26.413583333333335,USC00041864,36.1356,-120.3606,204.2,CA
USC00041912,18.690083333333334,USC00041912,39.0911,-120.9481,725.4,CA
USC00041948,23.495,USC00041948,39.1875,-122.0269,15.2,CA
USC00041967,22.290583333333334,USC00041967,37.9833,-122.0692,12.2,CA
USC00042012,24.723750000000006,USC00042012,36.0975,-119.5817,61,CA
