id;anno;gen;feb;mar;apr;mag;giu;lug;ago;set;ott;nov;dic;_ID;_LATITUDE;_LONGITUDE;_ELEVATION;_STATE
USC00040029;1997;1205;98;288;255;183;358;82;23;257;269;504;320F;USC00040029;41.1936;-120.9447;1278.6;CA
USC00040029;1998;743F;598;666;315;1360;1041;254;0;479;158;1187;286;USC00040029;41.1936;-120.9447;1278.6;CA
USC00040029;1999;527;808;265;124;140;309;107;252;0;368;307;138;USC00040029;41.1936;-120.9447;1278.6;CA
USC00040029;2000;855;528;529;313;226;193;43;0;193;558;247;117;USC00040029;41.1936;-120.9447;1278.6;CA
USC00040029;2001;113;136;152;361F;3;67;23;0;232;54;625;604;USC00040029;41.1936;-120.9447;1278.6;CA
USC00040029;2002;411;310;354;468;118;25;0;0;0;13;430;601;USC00040029;41.1936;-120.9447;1278.6;CA
USC00040029;2003;266;199;582;811;430;104F;0;175;39;0;486;1114;USC00040029;41.1936;-120.9447;1278.6;CA
USC00040029;2004;285;703;127;130;600;152;0;28;23;742;555;293F;USC00040029;41.1936;-120.9447;1278.6;CA
USC00040029;2005;200;236;369;391;1248;168;0;0;94;287;821;1530;USC00040029;41.1936;-120.9447;1278.6;CA
USC00040029;2006;614;343;654;700;191;79F;30;10;3;150;482;263;USC00040029;41.1936;-120.9447;1278.6;CA
USC00040029;2007;68;701;183;199;104;201;81;36;127;364;249;470;USC00040029;41.1936;-120.9447;1278.6;CA
USC00040029;2008;600;228;146;107;395;43;10;72;3;128;274;481;USC00040029;41.1936;-120.9447;1278.6;CA
USC00040029;2009;296;347;321;548;165;371;3;69;0;254;377;404;USC00040029;41.1936;-120.9447;1278.6;CA
USC00040029;2010;291;90;455;493;235;163;8;97;152;509;346;1057;USC00040029;41.1936;-120.9447;1278.6;CA
USC00040136;1981;505F;669;1155;286;56;0;0;0;0;69;333;262;USC00040136;32.8358;-116.7775;516.6;CA
USC00040136;1982;1272;606F;1785;290;80F;91;0;33;220;46;1601F;676;USC00040136;32.8358;-116.7775;516.6;CA
USC00040136;1983;531;1534;2772;651;77;0;0;423;74;84;899;889;USC00040136;32.8358;-116.7775;516.6;CA
USC00040136;1984;115;13;115F;109;0;41;473;218;28;125;529;1377;USC00040136;32.8358;-116.7775;516.6;CA
USC00040136;1985;350;426;532;171;18;18;13;0;118;124;1882;439;USC00040136;32.8358;-116.7775;516.6;CA
USC00040136;1986;72;1105F;1363;147;0;0;21;0;289;422;209;452;USC00040136;32.8358;-116.7775;516.6;CA
USC00040136;1987;480;585;578;173;98;0;0;25;96;748;1007;758F;USC00040136;32.8358;-116.7775;516.6;CA
USC00040136;1988;762;252;264;914;56;0;0;0;25;0;361;676;USC00040136;32.8358;-116.7775;516.6;CA
USC00040136;1989;183;518;397;30;117;0;0;0;120;97;20;25;USC00040136;32.8358;-116.7775;516.6;CA
USC00040136;1990;840F;426;395;259;122;213;157;38;0F;12F;256F;244F;USC00040136;32.8358;-116.7775;516.6;CA
USC00040136;1991;389F;808;3221;50;5;0;89;0;31F;384;0;681;USC00040136;32.8358;-116.7775;516.6;CA
USC00040136;1992;1028;1009;1915F;89;36;0F;33;312;0;331;0F;1191;USC00040136;32.8358;-116.7775;516.6;CA
USC00040136;1993;3872;1508;211;0;23;239F;20;0;8;25;607;331;USC00040136;32.8358;-116.7775;516.6;CA
USC00040136;1994;373;1153;1026;577;147;0F;64;0F;0;12F;388;319;USC00040136;32.8358;-116.7775;516.6;CA
USC00040136;1995;2426;971;2205;520;447;142;0;0;38;51;66;74;USC00040136;32.8358;-116.7775;516.6;CA
USC00040136;1996;475;834;706;195;8;0;91;0;28;135F;538;601;USC00040136;32.8358;-116.7775;516.6;CA
USC00040136;1997;1479;603;0F;67F;20;23;0;0;399;23;683;605;USC00040136;32.8358;-116.7775;516.6;CA
USC00040136;1998;818;3291;1292;772F;715F;150;8;0;34F;58F;456F;289F;USC00040136;32.8358;-116.7775;516.6;CA
USC00040136;1999;620;245;238;789;11;178;28;0;86;0;2F;155;USC00040136;32.8358;-116.7775;516.6;CA
USC00040136;2000;197F;1291;379;256;0F;3;0;12F;61;296;272;0;USC00040136;32.8358;-116.7775;516.6;CA
USC00040136;2001;951F;960;246;427;0;0;13;0;0;0;41;375F;USC00040136;32.8358;-116.7775;516.6;CA
USC00040136;2002;127;41;403;62F;0;0;28;0;114;3;818;538F;USC00040136;32.8358;-116.7775;516.6;CA
USC00040136;2003;35;1307;615;481;178;38;23;38;13;0;392;361F;USC00040136;32.8358;-116.7775;516.6;CA
USC00040136;2004;53;1129;10;370;0;0;0;0;0;1260;165;750;USC00040136;32.8358;-116.7775;516.6;CA
USC00040136;2005;1552F;1464F;543F;298F;259F;0;0F;0;0;324F;0F;5;USC00040136;32.8358;-116.7775;516.6;CA
USC00040136;2006;76;446F;1271F;614F;63F;0;101F;0;0;218F;43F;0;USC00040136;32.8358;-116.7775;516.6;CA
USC00040136;2007;283F;891F;0;0;20;0F;0;0;98F;0;0;654F;USC00040136;32.8358;-116.7775;516.6;CA
USC00040136;2008;1420F;826F;46;66F;140F;0;0;43;0;25F;1039F;784F;USC00040136;32.8358;-116.7775;516.6;CA
USC00040136;2009;35;1136;46;112;0;0;0;0;0;20;236;616;USC00040136;32.8358;-116.7775;516.6;CA
USC00040136;2010;1781F;1112;245;663;13;0;20;0;147;711;478;1967;USC00040136;32.8358;-116.7775;516.6;CA
USC00040161;1981;233;480F;279;200;483;236;5;0;167;385;788;763F;USC00040161;41.4931;-120.5528;1341.1;CA
USC00040161;1982;203;315F;406;114;209;430;66;89;120;468;394;365;USC00040161;41.4931;-120.5528;1341.1;CA
USC00040161;1983;156;498;728;413;496;59;0;218;181;270;841F;1058;USC00040161;41.4931;-120.5528;1341.1;CA
USC00040161;1984;49;283;314;256;173;435;6;216;79;371;711;117;USC00040161;41.4931;-120.5528;1341.1;CA
USC00040161;1985;133;221;198;86;244;77;13;10;539;38;634;98;USC00040161;41.4931;-120.5528;1341.1;CA
USC00040161;1986;272F;1292;601;543;374;145;155;0;412;84;127;161;USC00040161;41.4931;-120.5528;1341.1;CA
USC00040161;1987;226;174;293;277;202;248F;323;0;0;23;232;474;USC00040161;41.4931;-120.5528;1341.1;CA
USC00040161;1988;420;121F;275;653;273;112;0;0;152;15;827;218;USC00040161;41.4931;-120.5528;1341.1;CA
USC00040161;1989;326;196;478;155;310;87;0;287;295;136;254;31;USC00040161;41.4931;-120.5528;1341.1;CA
USC00040161;1990;232;274;288;150;408;61;56;201;8;63;338;139;USC00040161;41.4931;-120.5528;1341.1;CA
USC00040161;1991;134;105;849;362;623;173;18;104;0;211;362;109;USC00040161;41.4931;-120.5528;1341.1;CA
USC00040161;1992;31;85;331;144;74;414;36;0;5;488;165;445;USC00040161;41.4931;-120.5528;1341.1;CA
USC00040161;1993;603F;232;528;360;480;391;23;299;135;372;287;239;USC00040161;41.4931;-120.5528;1341.1;CA
USC00040161;1994;66;326;612;198;439;168;0;0;0;5;724;586;USC00040161;41.4931;-120.5528;1341.1;CA
USC00040161;1995;558;134;810;825;443;451;15;0;20;89;107;1009;USC00040161;41.4931;-120.5528;1341.1;CA
USC00040161;1996;734;787;236;266;653;158;56;46;131;168;266;791;USC00040161;41.4931;-120.5528;1341.1;CA
USC00040161;1997;814;117;171;285;223;403;191;21;264;101;368;230;USC00040161;41.4931;-120.5528;1341.1;CA
USC00040161;1998;720;275;405;150;1094;491;328;0;562;106;979;203;USC00040161;41.4931;-120.5528;1341.1;CA
USC00040161;1999;379;563;135;49;122;217;208;396;5;195;84;130;USC00040161;41.4931;-120.5528;1341.1;CA
USC00040161;2000;536;228;357;196;163F;20;104;0;38;412;180;72;USC00040161;41.4931;-120.5528;1341.1;CA
USC00040161;2001;73;137;180;360;0;53;79;8;202;70;663;474;USC00040161;41.4931;-120.5528;1341.1;CA
USC00040161;2002;200;435;114;316;83;0;8;0;26;16;318;220;USC00040161;41.4931;-120.5528;1341.1;CA
USC00040161;2003;190;245;447;467;517;19;127;241;62;0;567;423F;USC00040161;41.4931;-120.5528;1341.1;CA
USC00040161;2004;244;402;180;262;403;82;0;191;97;797;523;299F;USC00040161;41.4931;-120.5528;1341.1;CA
USC00040161;2005;340F;137F;331;358F;815;80;0;0;87F;176F;601F;1001F;USC00040161;41.4931;-120.5528;1341.1;CA
USC00040161;2006;511F;337F;394F;458F;125F;19;18;20;0;174F;540F;318F;USC00040161;41.4931;-120.5528;1341.1;CA
USC00040161;2007;92;334F;168;237F;120F;69F;15;41F;266;540;147F;256F;USC00040161;41.4931;-120.5528;1341.1;CA
USC00040161;2008;409F;265F;249F;107F;722F;53F;13;0;19F;109;396F;274F;USC00040161;41.4931;-120.5528;1341.1;CA
USC00040161;2009;196F;201F;283F;258F;268F;621F;0;89;0;180F;332F;219F;USC00040161;41.4931;-120.5528;1341.1;CA
USC00040161;2010;342F;67;331F;337F;417;195;0;79;134;380F;357F;732;USC00040161;41.4931;-120.5528;1341.1;CA
USC00040192;1981;509F;446F;651F;42F;29F;2F;0F;0F;11F;150F;390F;221F;USC00040192;33.8647;-117.8425;102.1;CA
USC00040192;1982;626F;191F;929F;352F;70F;7F;0F;0F;224F;33F;1173F;273F;USC00040192;33.8647;-117.8425;102.1;CA
USC00040192;1983;773F;993F;1959F;776F;114F;0F;0F;45F;529F;264F;803F;481F;USC00040192;33.8647;-117.8425;102.1;CA
USC00040192;1984;49F;20F;41F;96F;0F;25F;7F;3F;65F;38F;553F;1208F;USC00040192;33.8647;-117.8425;102.1;CA
USC00040192;1985;232F;294F;249F;19F;26F;0F;0F;7F;61F;128F;1037F;92F;USC00040192;33.8647;-117.8425;102.1;CA
USC00040192;1986;346F;979F;946F;286F;0F;0F;0F;0F;489F;76F;248F;161F;USC00040192;33.8647;-117.8425;102.1;CA
USC00040192;1987;437F;308F;141F;19F;2F;11F;0F;0F;16F;869F;383F;453F;USC00040192;33.8647;-117.8425;102.1;CA
USC00040192;1988;348F;318F;21F;346F;4F;0F;0F;0F;26F;0F;274F;719F;USC00040192;33.8647;-117.8425;102.1;CA
USC00040192;1989;155F;203F;218F;113F;25F;6F;0F;0;125;106;117;0;USC00040192;33.8647;-117.8425;102.1;CA
USC00040192;1990;592;978;38;191;162;5;0;0;0;0;71;5;USC00040192;33.8647;-117.8425;102.1;CA
USC00040192;1991;445;800;1363;0;0;0;8;0;3;81;5;336;USC00040192;33.8647;-117.8425;102.1;CA
USC00040192;1992;369;1650;1207;53;0;0;66;0;0;236;0;1495;USC00040192;33.8647;-117.8425;102.1;CA
USC00040192;1993;2330;1101;566;0;0;312;0;0;0;13;251;219;USC00040192;33.8647;-117.8425;102.1;CA
USC00040192;1994;129;662;489;290;59;0;0;0;0;25;236;181;USC00040192;33.8647;-117.8425;102.1;CA
USC00040192;1995;2665;353;1510;140;61;307;8;0;0;0;0;260;USC00040192;33.8647;-117.8425;102.1;CA
USC00040192;1996;498;1136;602;163;0;0;0;0;0;290;808;923;USC00040192;33.8647;-117.8425;102.1;CA
USC00040192;1997;1231;61;0;0;0;13;0;0;119;0;630;869;USC00040192;33.8647;-117.8425;102.1;CA
USC00040192;1998;673;2932;718;272;681;13;0;0;25;0;297;208;USC00040192;33.8647;-117.8425;102.1;CA
USC00040192;1999;350;36;327;366;0;26;25;0;0;0;86;18;USC00040192;33.8647;-117.8425;102.1;CA
USC00040192;2000;245;1144;279;454;0;0;0;0;30;435;0;5;USC00040192;33.8647;-117.8425;102.1;CA
USC00040192;2001;574;1175;151;175;0;5;0;0;0;0;284;369;USC00040192;33.8647;-117.8425;102.1;CA
USC00040192;2002;87;39;79;56;59;0;0;0;0;20;484;646;USC00040192;33.8647;-117.8425;102.1;CA
USC00040192;2003;10;1014;831;498;183;3;38;0;0;0;158;283;USC00040192;33.8647;-117.8425;102.1;CA
USC00040192;2004;75;1336;156;237;0;0;0;0;0;1740;298;811;USC00040192;33.8647;-117.8425;102.1;CA
USC00040192;2005;2078;2200;315;282;61;3;0F;0;84;135F;21;204;USC00040192;33.8647;-117.8425;102.1;CA
USC00040192;2006;255;452;639F;509;284;6;21;28;0;18;0;173;USC00040192;33.8647;-117.8425;102.1;CA
USC00040192;2007;31;305;0;91;0;0;0;2F;66;102;0;261;USC00040192;33.8647;-117.8425;102.1;CA
USC00040192;2008;1131;318;11;0;292;0;0;0;0;0;412;777;USC00040192;33.8647;-117.8425;102.1;CA
USC00040192;2009;20F;945F;27F;0;0;13;71;0;0;147;0;1181;USC00040192;33.8647;-117.8425;102.1;CA
USC00040192;2010;4510;1000;46;249;0;36;0;0;0;576;1489;2568;USC00040192;33.8647;-117.8425;102.1;CA
USC00040212;1981;2501;849;1145;183;107;0;3;0;150;1148;3642;3346;USC00040212;38.5731;-122.4406;522.7;CA
USC00040212;1982;3075F;1889;2333F;1888;0;77;13;16;782;1290;2823;1809;USC00040212;38.5731;-122.4406;522.7;CA
USC00040212;1983;3359;4079;4859;1122;247;64;0;91;317F;366;4154;4107;USC00040212;38.5731;-122.4406;522.7;CA
USC00040212;1984;54F;758;758F;406;71;132;0;89;41;604;3255;643;USC00040212;38.5731;-122.4406;522.7;CA
USC00040212;1985;327;1239;1367;66;19F;10;10;0;368;347F;1326;1309;USC00040212;38.5731;-122.4406;522.7;CA
USC00040212;1986;2395;7237;2018F;232;394;0;0;0;603F;111;60;645;USC00040212;38.5731;-122.4406;522.7;CA
USC00040212;1987;979;1603;1492;44;15;0;0;0;0F;692F;1164;2906F;USC00040212;38.5731;-122.4406;522.7;CA
USC00040212;1988;2264F;0F;13;563;330;122;0;0;0;33;1629;1036;USC00040212;38.5731;-122.4406;522.7;CA
USC00040212;1989;378;193;2912;283;0;36;0;8;539;1091;330;0;USC00040212;38.5731;-122.4406;522.7;CA
USC00040212;1990;1705;836;395;99;1109;0;0;0;128;170;152;234;USC00040212;38.5731;-122.4406;522.7;CA
USC00040212;1991;155;1316;4211;145;100;168;0;56;0;579;457;816;USC00040212;38.5731;-122.4406;522.7;CA
USC00040212;1992;587;2812;1581;432;0;353;0;0;0;1131;102;3071;USC00040212;38.5731;-122.4406;522.7;CA
USC00040212;1993;3961;2164;823;437;774;421;0;0;0;312;794;1316;USC00040212;38.5731;-122.4406;522.7;CA
USC00040212;1994;828;1519;88;492;297;13;0;0;0;389;1875;1241;USC00040212;38.5731;-122.4406;522.7;CA
USC00040212;1995;7187;112F;4221;835;712;183;0;0;0;0;61;2831;USC00040212;38.5731;-122.4406;522.7;CA
USC00040212;1996;2418;2885;1003;1111;1194;0;0;0;36;394;1341;4560;USC00040212;38.5731;-122.4406;522.7;CA
USC00040212;1997;4041;149;425;262;196;69;0;115;87;496;2215;1049;USC00040212;38.5731;-122.4406;522.7;CA
USC00040212;1998;3714F;5452;908;1320;1293;0;0;0;69;257;2355;535;USC00040212;38.5731;-122.4406;522.7;CA
